#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=50. 1995. gadā grupa zinātnieku izteica savu viedokli par to, ka ap 2050. gadu cilvēki būs spiesti pievērsties augu valsts pārtikai, sakarā ar enerģijas trūkumu, degradētajām ganību platībām, ūdens trūkumu un milzīgo iedzīvotāju skaitu.
1-1	0-3	50.	xo	*	50.	_	_	_	_	parataxis	basic	1-6	
1-2	4-9	1995.	xo	*	1995.	time[1]	*[1]	_	_	amod	basic	1-3	
1-3	10-14	gadā	ncmsl1	*	gads	time[1]	*[1]	_	_	obl	basic	1-6	
1-4	15-20	grupa	ncfsn4	*	grupa	_	_	*->1-1	*[1]	nsubj	basic	1-6	
1-5	21-31	zinātnieku	ncmpg1	*	zinātnieks	_	_	_	_	nmod	basic	1-4	
1-6	32-39	izteica	vmnist130an	*	izteikt	_	_	_	_	root	basic	1-6	
1-7	40-44	savu	ps0msan	*	savs	_	_	*->1-2	*[1]	det	basic	1-8	
1-8	45-53	viedokli	ncmsa2	*	viedoklis	_	_	_	_	obj	basic	1-6	
1-9	54-57	par	spsa	*	par	_	_	_	_	case	basic	1-10	
1-10	58-60	to	pd0msan	*	tas	_	_	_	_	det	basic	1-8	
1-11	60-61	,	zc	*	,	_	_	_	_	punct	basic	1-18	
1-12	62-64	ka	cs	*	ka	_	_	_	_	mark	basic	1-18	
1-13	65-67	ap	spsa	*	ap	time[2]	*[2]	_	_	case	basic	1-15	
1-14	68-73	2050.	xo	*	2050.	time[2]	*[2]	_	_	amod	basic	1-15	
1-15	74-78	gadu	ncmsa1	*	gads	time[2]	*[2]	_	_	obl	basic	1-18	
1-16	79-86	cilvēki	ncmpn1	*	cilvēks	_	_	_	_	nsubj	basic	1-18	
1-17	87-90	būs	vcnifii30an	*	būt	_	_	_	_	aux	basic	1-18	
1-18	91-98	spiesti	vmnpdmpnpsnp	*	spiest	_	_	_	_	ccomp	basic	1-10	
1-19	99-110	pievērsties	vmyn0i1000n	*	pievērsties	_	_	_	_	ccomp	basic	1-18	
1-20	111-115	augu	ncmpg1	*	augs	_	_	_	_	nmod	basic	1-21	
1-21	116-122	valsts	ncfsg6	*	valsts	_	_	_	_	nmod	basic	1-22	
1-22	123-131	pārtikai	ncfsd4	*	pārtika	_	_	_	_	iobj	basic	1-19	
1-23	131-132	,	zc	*	,	_	_	_	_	punct	basic	1-24	
1-24	133-139	sakarā	ncmsl1	*	sakars	_	_	_	_	acl	basic	1-19	
1-25	140-142	ar	spsa	*	ar	_	_	_	_	case	basic	1-27	
1-26	143-152	enerģijas	ncfsg4	*	enerģija	_	_	_	_	nmod	basic	1-27	
1-27	153-160	trūkumu	ncmsa1	*	trūkums	_	_	_	_	iobj	basic	1-24	
1-28	160-161	,	zc	*	,	_	_	_	_	punct	basic	1-31	
1-29	162-174	degradētajām	vmnpdfpdpsyp	*	degradēt	_	_	_	_	amod	basic	1-31	
1-30	175-181	ganību	ncfdg4	*	ganības	_	_	_	_	nmod	basic	1-31	
1-31	182-190	platībām	ncfpd4	*	platība	_	_	_	_	conj	basic	1-27	
1-32	190-191	,	zc	*	,	_	_	_	_	punct	basic	1-34	
1-33	192-197	ūdens	ncmsg2	*	ūdens	_	_	_	_	nmod	basic	1-34	
1-34	198-205	trūkumu	ncmsa1	*	trūkums	_	_	_	_	conj	basic	1-27	
1-35	206-208	un	cc	*	un	_	_	_	_	cc	basic	1-38	
1-36	209-216	milzīgo	afmsayp	*	milzīgs	_	_	_	_	amod	basic	1-38	
1-37	217-228	iedzīvotāju	ncmpg1	*	iedzīvotājs	_	_	_	_	nmod	basic	1-38	
1-38	229-235	skaitu	ncmsa1	*	skaits	_	_	_	_	conj	basic	1-27	
1-39	235-236	.	zs	*	.	_	_	_	_	punct	basic	1-6	

#Text=Zinātnieki atzīst, ka šāds uzturs visiem nāks tikai par labu
2-1	238-248	Zinātnieki	ncmpn1	*	zinātnieks	_	_	_	_	nsubj	basic	2-2	
2-2	249-255	atzīst	vmnipt130an	*	atzīt	_	_	_	_	root	basic	2-2	
2-3	255-256	,	zc	*	,	_	_	_	_	punct	basic	2-8	
2-4	257-259	ka	cs	*	ka	_	_	_	_	mark	basic	2-8	
2-5	260-264	šāds	pd0msnn	*	šāds	_	_	_	_	det	basic	2-6	
2-6	265-271	uzturs	ncmsn1	*	uzturs	_	_	_	_	nsubj	basic	2-8	
2-7	272-278	visiem	pg0mpdn	*	viss	_	_	_	_	iobj	basic	2-8	
2-8	279-283	nāks	vmnifi130an	*	nākt	_	_	_	_	ccomp	basic	2-2	
2-9	284-289	tikai	q	*	tikai	_	_	_	_	discourse	basic	2-11	
2-10	290-293	par	spsa	*	par	_	_	_	_	case	basic	2-11	
2-11	294-298	labu	afmsanp	*	labs	_	_	_	_	obl	basic	2-8	
