#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Tirdzniecība ir organizēta pēc tirgus principa.
1-1	0-12	Tirdzniecība	ncfsn4	*	tirdzniecība	_	_	nsubj:pass	basic	1-3	
1-2	13-15	ir	vcnipii30an	*	būt	_	_	aux	basic	1-3	
1-3	16-26	organizēta	vmnpdfsnpsnp	*	organizēt	_	_	root	basic	1-3	
1-4	27-30	pēc	spsg	*	pēc	_	_	case	basic	1-6	
1-5	31-37	tirgus	ncmsg3	*	tirgus	_	_	nmod	basic	1-6	
1-6	38-46	principa	ncmsg1	*	princips	_	_	obl	basic	1-3	
1-7	46-47	.	zs	*	.	_	_	punct	basic	1-3	

#Text=Mums nav pašapkalpošanās.
2-1	49-53	Mums	pp10pdn	*	mēs	_	_	obl	basic	2-2	
2-2	54-57	nav	vgnipii30ay	*	nebūt	_	_	root	basic	2-2	
2-3	58-73	pašapkalpošanās	ncmsnr	*	pašapkalpošanās	_	_	nsubj	basic	2-2	
2-4	73-74	.	zs	*	.	_	_	punct	basic	2-2	

#Text=Pārdevējs aiz letes ir pircēja gids.
3-1	76-85	Pārdevējs	ncmsn1	*	pārdevējs	*->1-1	*[1]	nsubj	basic	3-6	
3-2	86-89	aiz	spsg	*	aiz	_	_	case	basic	3-3	
3-3	90-95	letes	ncfsg5	*	lete	_	_	nmod	basic	3-1	
3-4	96-98	ir	vcnipii30an	*	būt	_	_	cop	basic	3-6	
3-5	99-106	pircēja	ncmsg1	*	pircējs	_	_	nmod	basic	3-6	
3-6	107-111	gids	ncmsn1	*	gids	_	_	root	basic	3-6	
3-7	111-112	.	zs	*	.	_	_	punct	basic	3-6	

#Text=Viņš labprāt pastāstīs par jūs ieinteresējošo preci, organizēs degustāciju, sniegs rekomendācijas, ieteiks labu recepti.
4-1	114-118	Viņš	pp3msnn	*	viņš	*->1-2	*[1]	nsubj	basic	4-3	
4-2	119-126	labprāt	r0m	*	labprāt	_	_	advmod	basic	4-3	
4-3	127-136	pastāstīs	vmnift330an	*	pastāstīt	_	_	root	basic	4-3	
4-4	137-140	par	spsa	*	par	_	_	case	basic	4-7	
4-5	141-144	jūs	pp20pan	*	jūs	_	_	obj	basic	4-6	
4-6	145-159	ieinteresējošo	vmnpdfsaapyp	*	ieinteresēt	_	_	amod	basic	4-7	
4-7	160-165	preci	ncfsa5	*	prece	_	_	iobj	basic	4-3	
4-8	165-166	,	zc	*	,	_	_	punct	basic	4-9	
4-9	167-176	organizēs	vmnift230an	*	organizēt	_	_	conj	basic	4-3	
4-10	177-188	degustāciju	ncfsa4	*	degustācija	_	_	obj	basic	4-9	
4-11	188-189	,	zc	*	,	_	_	punct	basic	4-12	
4-12	190-196	sniegs	vmnift130an	*	sniegt	_	_	conj	basic	4-3	
4-13	197-211	rekomendācijas	ncfpa4	*	rekomendācija	_	_	obj	basic	4-12	
4-14	211-212	,	zc	*	,	_	_	punct	basic	4-15	
4-15	213-220	ieteiks	vmnift130an	*	ieteikt	_	_	conj	basic	4-3	
4-16	221-225	labu	affsanp	*	laba	_	_	amod	basic	4-17	
4-17	226-233	recepti	ncfsa5	*	recepte	_	_	obj	basic	4-15	
4-18	233-234	.	zs	*	.	_	_	punct	basic	4-3	
