#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Lasi kopā ar garšsaknēm liek aukstā ūdenī, uzvāra un noputo.
1-1	0-4	Lasi	ncmsa2	lasis	obj	basic	1-5	
1-2	5-9	kopā	r0m	kopā	advmod	basic	1-5	
1-3	10-12	ar	sppd	ar	case	basic	1-4	
1-4	13-23	garšsaknēm	ncfdd5	garšsakne	iobj	basic	1-2	
1-5	24-28	liek	vmnipt130an	likt	root	basic	1-5	
1-6	29-35	aukstā	afmslnp	auksts	amod	basic	1-7	
1-7	36-41	ūdenī	ncmsl2	ūdens	obl	basic	1-5	
1-8	41-42	,	zc	,	punct	basic	1-9	
1-9	43-49	uzvāra	vmnipt330an	uzvārīt	conj	basic	1-5	
1-10	50-52	un	cc	un	cc	basic	1-11	
1-11	53-59	noputo	vmnipt230an	noputot	conj	basic	1-5	
1-12	59-60	.	zs	.	punct	basic	1-5	

#Text=Vāra 30 līdz 45 minūtes, izkāš caur sietiņu.
2-1	62-66	Vāra	vmnipt330an	vārīt	root	basic	2-1	
2-2	67-69	30	xn	30	nummod	basic	2-5	
2-3	70-74	līdz	sppd	līdz	cc	basic	2-4	
2-4	75-77	45	xn	45	conj	basic	2-2	
2-5	78-85	minūtes	ncfpn5	minūte	obl	basic	2-1	
2-6	85-86	,	zc	,	punct	basic	2-7	
2-7	87-92	izkāš	vmnipt130an	izkāst	conj	basic	2-1	
2-8	93-97	caur	spsa	caur	case	basic	2-9	
2-9	98-105	sietiņu	ncmsa1	sietiņš	obl	basic	2-7	
2-10	105-106	.	zs	.	punct	basic	2-1	

#Text=Laša gaļu samaļ kopā ar cūkas vai liellopa gaļu, pieliek rīvmaizi, sāli, piparus, olu, sīpolu un pagatavo frikadeles.
3-1	108-112	Laša	ncmsg2	lasis	nmod	basic	3-2	
3-2	113-117	gaļu	ncfva4	gaļa	obj	basic	3-3	
3-3	118-123	samaļ	vmnipt130an	samalt	root	basic	3-3	
3-4	124-128	kopā	r0m	kopā	advmod	basic	3-3	
3-5	129-131	ar	spsa	ar	case	basic	3-9	
3-6	132-137	cūkas	ncfsg4	cūka	nmod	basic	3-9	
3-7	138-141	vai	cc	vai	cc	basic	3-8	
3-8	142-150	liellopa	ncmsg1	liellops	conj	basic	3-6	
3-9	151-155	gaļu	ncfva4	gaļa	iobj	basic	3-4	
3-10	155-156	,	zc	,	punct	basic	3-11	
3-11	157-164	pieliek	vmnipt130an	pielikt	conj	basic	3-3	
3-12	165-173	rīvmaizi	ncfsa5	rīvmaize	obj	basic	3-11	
3-13	173-174	,	zc	,	punct	basic	3-14	
3-14	175-179	sāli	ncmsa1	sāls	conj	basic	3-12	
3-15	179-180	,	zc	,	punct	basic	3-16	
3-16	181-188	piparus	ncmpa1	pipars	conj	basic	3-12	
3-17	188-189	,	zc	,	punct	basic	3-18	
3-18	190-193	olu	ncfsa4	ola	conj	basic	3-12	
3-19	193-194	,	zc	,	punct	basic	3-20	
3-20	195-201	sīpolu	ncmsa1	sīpols	conj	basic	3-12	
3-21	202-204	un	cc	un	cc	basic	3-22	
3-22	205-213	pagatavo	vmnipt230an	pagatavot	conj	basic	3-3	
3-23	214-224	frikadeles	ncfpa5	frikadele	obj	basic	3-22	
3-24	224-225	.	zs	.	punct	basic	3-3	
