#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|animacy|aspect|case|definiteness|degree|gender|mood|negative|numType|number|person|possessive|pronType|reflex|tense|transitivity|value|verbForm|voice
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Jaunos sīpoliņus notīra, nomazgā un sagriež ripiņās.
1-1	0-6	Jaunos	*	*	Acc	*	Pos	Masc	*	*	*	Plur	*	*	*	*	*	*	Case=Acc\|Degree=Pos\|Gender=Masc\|Number=Plur	*	*	afmpayp	*	jauns	amod|amod	basic|enhanced	1-2|1-2	
1-2	7-16	sīpoliņus	*	*	Acc	*	*	Masc	*	*	*	Plur	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa1	*	sīpoliņš	obj|obj	basic|enhanced	1-3|1-3	
1-3	17-23	notīra	*	*	*	*	*	*	Ind	*	*	*	3	*	*	*	Pres	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	*	Act	vmnipt330an	*	notīrīt	root|root	basic|enhanced	1-3|1-3	
1-4	23-24	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	zc	*	,	punct|punct	basic|enhanced	1-5|1-5	
1-5	25-32	nomazgā	*	*	*	*	*	*	Ind	*	*	*	3	*	*	*	*	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|VerbForm=Fin\|Voice=Act	*	Act	vmni0t230an	*	nomazgāt	conj|conj	basic|enhanced	1-3|1-3	
1-6	33-35	un	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	cc	*	un	cc|cc	basic|enhanced	1-7|1-7	
1-7	36-43	sagriež	*	*	*	*	*	*	Ind	*	*	*	3	*	*	*	Pres	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	*	Act	vmnipt130an	*	sagriezt	conj|conj	basic|enhanced	1-3|1-3	
1-8	44-51	ripiņās	*	*	Loc	*	*	Fem	*	*	*	Plur	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Plur	*	*	ncfpl4	*	ripiņa	obl|obl	basic|enhanced	1-7|1-7	
1-9	51-52	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	zs	*	.	punct|punct	basic|enhanced	1-3|1-3	

#Text=Sakarsē pusi no kausētā sviesta.
2-1	54-61	Sakarsē	*	*	*	*	*	*	Ind	*	*	*	3	*	*	*	Pres	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	*	Act	vmnipt230an	*	sakarsēt	root|root	basic|enhanced	2-1|2-1	
2-2	62-66	pusi	*	*	Acc	*	*	Fem	*	*	*	Sing	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa5	*	puse	obj|obj	basic|enhanced	2-1|2-1	
2-3	67-69	no	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	spsg	*	no	case|case	basic|enhanced	2-5|2-5	
2-4	70-77	kausētā	*	Perf	Gen	*	Pos	Masc	*	*	*	Sing	*	*	*	*	Past	*	Aspect=Perf\|Case=Gen\|Definite=Def\|Degree=Pos\|Gender=Masc\|Number=Sing\|Tense=Past\|VerbForm=Part	*	*	vmnpdmsgpsyp	*	kausēt	amod|amod	basic|enhanced	2-5|2-5	
2-5	78-85	sviesta	*	*	Gen	*	*	Masc	*	*	*	Sing	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	*	sviests	compound|compound	basic|enhanced	2-2|2-2	
2-6	85-86	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	zs	*	.	punct|punct	basic|enhanced	2-1|2-1	

#Text=Dārzeņus kopā ar sīpoliem tajā cep 3–4 minūtes.
3-1	88-96	Dārzeņus	*	*	Acc	*	*	Masc	*	*	*	Plur	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa2	*	dārzenis	obj|obj	basic|enhanced	3-6|3-6	
3-2	97-101	kopā	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	r0m	*	kopā	advmod|advmod	basic|enhanced	3-6|3-6	
3-3	102-104	ar	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	sppd	*	ar	case|case	basic|enhanced	3-4|3-4	
3-4	105-113	sīpoliem	*	*	Dat	*	*	Masc	*	*	*	Plur	*	*	*	*	*	*	Case=Dat\|Gender=Masc\|Number=Plur	*	*	ncmpd1	*	sīpols	iobj|iobj	basic|enhanced	3-2|3-2	
3-5	114-118	tajā	*	*	Loc	*	*	Fem	*	*	*	Sing	3	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing\|Person=3\|PronType=Dem	*	*	pd3fsln	*	tā	obl|obl	basic|enhanced	3-6|3-6	
3-6	119-122	cep	*	*	*	*	*	*	Ind	*	*	*	3	*	*	*	Pres	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	*	Act	vmnipt130an	*	cept	root|root	basic|enhanced	3-6|3-6	
3-7	123-124	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	*	3	nummod|nummod	basic|enhanced	3-10|3-10	
3-8	124-125	–	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	zd	*	–	punct|punct	basic|enhanced	3-9|3-9	
3-9	125-126	4	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	*	4	conj|conj	basic|enhanced	3-7|3-7	
3-10	127-134	minūtes	*	*	Nom	*	*	Fem	*	*	*	Plur	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Plur	*	*	ncfpn5	*	minūte	iobj|iobj	basic|enhanced	3-6|3-6	
3-11	134-135	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	zs	*	.	punct|punct	basic|enhanced	3-6|3-6	
