#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Lai rokas koptu mājās, nepieciešams speciāls līdzeklis nagu valnīša noņemšanai un mīkstināšanai, un kociņš, ar ko atbīda naga valnīti.
1-1	0-3	Lai	_	_	_	_	_	_	_	_	_	_	_	_	cs	lai	mark	basic	1-3	
1-2	4-9	rokas	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur	*	*	ncfpa4	roka	obj	basic	1-3	
1-3	10-15	koptu	*	*	*	*	*	*	Cnd	Act	*	Mood=Cnd\|Polarity=Pos\|VerbForm=Fin\|Voice=Act	*	*	vmnc0t100an	kopt	advcl	basic	1-6	
1-4	16-21	mājās	Fem	Plur	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Plur	*	*	ncfpl4	māja	obl	basic	1-3	
1-5	21-22	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-3	
1-6	23-35	nepieciešams	Masc	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	afmsnnp	nepieciešams	root	basic	1-6	
1-7	36-44	speciāls	Masc	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	armsnnp	speciāls	amod	basic	1-8	
1-8	45-54	līdzeklis	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn2	līdzeklis	nsubj	basic	1-6	
1-9	55-59	nagu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	nags	nmod	basic	1-10	
1-10	60-67	valnīša	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg2	valnītis	nmod	basic	1-11	
1-11	68-78	noņemšanai	Fem	Sing	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Sing	*	*	ncfsd4	noņemšana	nmod	basic	1-8	
1-12	79-81	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc	basic	1-13	
1-13	82-95	mīkstināšanai	Fem	Sing	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Sing	*	*	ncfsd4	mīkstināšana	conj	basic	1-11	
