#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Nagu pieaudzēšana –
1-1	0-4	Nagu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	nags	_	_	nmod	basic	1-2	
1-2	5-17	pieaudzēšana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	pieaudzēšana	_	_	root	basic	1-2	
1-3	18-19	–	_	_	_	_	_	_	_	_	_	_	_	_	zd	–	_	_	punct	basic	1-2	

#Text=zem šī nosaukuma slēpjas vairākas eksistējošas šodien tehnoloģijas, bet arī lielu materiālu un preparātu klāsts, kas tiek izmantots nagu pieaudzēšanai – tas ir akrils, gēls, līmes-pūderis un audumu pārklājumi utt.
2-1	21-24	zem	_	_	_	_	_	_	_	_	_	_	_	_	spsg	zem	_	_	case	basic	2-3	
2-2	25-27	šī	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing\|PronType=Dem	*	*	pd0msgn	šis	_	_	det	basic	2-3	
2-3	28-37	nosaukuma	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	nosaukums	_	_	obl	basic	2-4	
2-4	38-45	slēpjas	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Reflex=Yes\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmyipi130an	slēpties	_	_	root	basic	2-4	
2-5	46-54	vairākas	Fem	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Plur\|PronType=Ind	*	*	pi0fpnn	vairākas	_	_	det	basic	2-8	
2-6	55-67	eksistējošas	Fem	Plur	Nom	Pos	*	Pres	*	Pass	*	Aspect=Imp\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Plur\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	Imp	vmnpdfpnapnpn	eksistēt	_	_	amod	basic	2-8	
2-7	68-74	šodien	_	_	_	_	_	_	_	_	_	_	_	_	r0t	šodien	_	_	advmod	basic	2-6	
2-8	75-87	tehnoloģijas	Fem	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Plur	*	*	ncfpn4	tehnoloģija	_	_	nsubj	basic	2-4	
2-9	87-88	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-16	
2-10	89-92	bet	_	_	_	_	_	_	_	_	_	_	_	_	cc	bet	_	_	cc	basic	2-16	
2-11	93-96	arī	_	_	_	_	_	_	_	_	_	_	_	_	q	arī	_	_	discourse	basic	2-10	
2-12	97-102	lielu	Masc	Plur	Gen	Pos	*	*	*	*	*	Case=Gen\|Degree=Pos\|Gender=Masc\|Number=Plur	*	*	afmpgnp	liels	_	_	amod	basic	2-13	
2-13	103-112	materiālu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	materiāls	_	_	nmod	basic	2-16	
2-14	113-115	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	_	_	cc	basic	2-15	
2-15	116-125	preparātu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	preparāts	_	_	conj	basic	2-13	
2-16	126-132	klāsts	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	klāsts	*[1]	*->1-1	conj	basic	2-8	
2-17	132-133	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-20	
