#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Mia atsperas pret laipu un rāmi ieslīd dīķī.
1-1	0-3	Mia	npfsn4	*	Mia	person	*	*->1-1	*[1]	nsubj	basic	1-2	
1-2	4-12	atsperas	vmyipi130an	*	atsperties	_	_	_	_	root	basic	1-2	
1-3	13-17	pret	spsa	*	pret	_	_	_	_	case	basic	1-4	
1-4	18-23	laipu	ncfsa4	*	laipa	_	_	_	_	obl	basic	1-2	
1-5	24-26	un	cc	*	un	_	_	_	_	cc	basic	1-7	
1-6	27-31	rāmi	rpm	*	rāmi	_	_	_	_	advmod	basic	1-7	
1-7	32-38	ieslīd	vmnipi330an	*	ieslīdēt	_	_	_	_	conj	basic	1-2	
1-8	39-43	dīķī	ncmsl2	*	dīķis	_	_	_	_	obl	basic	1-7	
1-9	43-44	.	zs	*	.	_	_	_	_	punct	basic	1-2	

#Text=Viņa peld lieliem, rimtiem vēzieniem.
2-1	46-50	Viņa	pp3fsnn	*	viņa	_	_	*->1-2	*[1]	nsubj	basic	2-2	
2-2	51-55	peld	vmnipi330an	*	peldēt	_	_	_	_	root	basic	2-2	
2-3	56-63	lieliem	afmpdnp	*	liels	_	_	_	_	amod	basic	2-6	
2-4	63-64	,	zc	*	,	_	_	_	_	punct	basic	2-5	
2-5	65-72	rimtiem	afmpdnp	*	rimts	_	_	_	_	conj	basic	2-3	
2-6	73-82	vēzieniem	ncmpd1	*	vēziens	_	_	_	_	obl	basic	2-2	
2-7	82-83	.	zs	*	.	_	_	_	_	punct	basic	2-2	
