#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Mia iemet melno maisu atkritumu bedrē.
1-1	0-3	Mia	npfsn4	Mia	person	*	nsubj	basic	1-2	
1-2	4-9	iemet	vmnipt130an	iemest	_	_	root	basic	1-2	
1-3	10-15	melno	afmsayp	melns	_	_	amod	basic	1-4	
1-4	16-21	maisu	ncmsa1	maiss	_	_	obj	basic	1-2	
1-5	22-31	atkritumu	ncmdg1	atkritumi	_	_	nmod	basic	1-6	
1-6	32-37	bedrē	ncfsl5	bedre	_	_	obl	basic	1-2	
1-7	37-38	.	zs	.	_	_	punct	basic	1-2	

#Text=Uzpūšot vējam, no ziedošas plūmes bedrē birst ziedlapiņas.
2-1	40-47	Uzpūšot	vmnpu0000000	uzpūst	_	_	advcl	basic	2-8	
2-2	48-53	vējam	ncmsd1	vējš	_	_	obl	basic	2-1	
2-3	53-54	,	zc	,	_	_	punct	basic	2-1	
2-4	55-57	no	spsg	no	_	_	case	basic	2-6	
2-5	58-66	ziedošas	vmnpdfsgapnp	ziedēt	_	_	amod	basic	2-6	
2-6	67-73	plūmes	ncfsg5	plūme	_	_	obl	basic	2-8	
2-7	74-79	bedrē	ncfsl5	bedre	_	_	obl	basic	2-8	
2-8	80-85	birst	vmnipi130an	birst	_	_	root	basic	2-8	
2-9	86-97	ziedlapiņas	ncfpa4	ziedlapiņa	_	_	nsubj	basic	2-8	
2-10	97-98	.	zs	.	_	_	punct	basic	2-8	

#Text=Aizkustinoši.
3-1	100-112	Aizkustinoši	r0p	aizkustinoši	_	_	root	basic	3-1	
3-2	112-113	.	zs	.	_	_	punct	basic	3-1	
