#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Stefans piezemējas laimīgi un vēl kādu brīdi skrien pa ledu.
1-1	0-7	Stefans	npmsn1	Stefans	person	*	*[1]	*->1-1	nsubj	basic	1-2	
1-2	8-18	piezemējas	vmyipi230an	piezemēties	_	_	_	_	root	basic	1-2	
1-3	19-26	laimīgi	rpm	laimīgs	_	_	_	_	advmod	basic	1-2	
1-4	27-29	un	cc	un	_	_	_	_	cc	basic	1-8	
1-5	30-33	vēl	r0t	vēl	_	_	_	_	advmod	basic	1-8	
1-6	34-38	kādu	pi0msan	kāds	_	_	_	_	det	basic	1-7	
1-7	39-44	brīdi	ncmsa2	brīdis	_	_	_	_	obl	basic	1-8	
1-8	45-51	skrien	vmnipt130an	skriet	_	_	_	_	conj	basic	1-2	
1-9	52-54	pa	spsa	pa	_	_	_	_	case	basic	1-10	
1-10	55-59	ledu	ncmva3	ledus	_	_	_	_	obl	basic	1-8	
1-11	59-60	.	zs	.	_	_	_	_	punct	basic	1-2	

#Text=Suns priecīgs viņu aplec.
2-1	62-66	Suns	ncmsn2	suns	_	_	_	_	nsubj	basic	2-4	
2-2	67-75	priecīgs	afmsnnp	priecīgs	_	_	_	_	acl	basic	2-4	
2-3	76-80	viņu	pp3msan	viņš	_	_	*[1]	*->1-2	obj	basic	2-4	
2-4	81-86	aplec	vmnipi130an	aplēkt	_	_	_	_	root	basic	2-4	
2-5	86-87	.	zs	.	_	_	_	_	punct	basic	2-4	

#Text=Viss sniegs nopēdots ar asinīm.
3-1	89-93	Viss	pg0msnn	viss	_	_	_	_	obl	basic	3-2	
3-2	94-100	sniegs	ncmsn1	sniegs	_	_	_	_	nsubj:pass	basic	3-3	
3-3	101-109	nopēdots	vmnpdmsnpsnp	nopēdot	_	_	_	_	root	basic	3-3	
3-4	110-112	ar	sppd	ar	_	_	_	_	case	basic	3-5	
3-5	113-119	asinīm	ncfpd6	asins	_	_	_	_	iobj	basic	3-3	
3-6	119-120	.	zs	.	_	_	_	_	punct	basic	3-3	
