#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Zupa bija ugunīgi karsta un sāļa.
1-1	0-4	Zupa	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	zupa	_	_	nsubj	basic	1-4	
1-2	5-9	bija	*	*	*	*	*	Past	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Past\|VerbForm=Fin\|Voice=Act	3	*	vcnisii30an	būt	_	_	cop	basic	1-4	
1-3	10-17	ugunīgi	*	*	*	Pos	*	*	*	*	*	Degree=Pos	*	*	rpm	ugunīgi	_	_	advmod	basic	1-4	
1-4	18-24	karsta	Fem	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Fem\|Number=Sing	*	*	affsnnp	karsta	_	_	root	basic	1-4	
1-5	25-27	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	_	_	cc	basic	1-6	
1-6	28-32	sāļa	Fem	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Fem\|Number=Sing	*	*	affsnnp	sāļa	_	_	conj	basic	1-4	
1-7	32-33	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	1-4	

#Text=Pelēkajā šķidrumā peldēja reti tauku aplīši un baltas, piebriedušas grūbas.
2-1	35-43	Pelēkajā	Masc	Sing	Loc	Pos	*	*	*	*	*	Case=Loc\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	afmslyp	pelēks	_	_	amod	basic	2-2	
2-2	44-52	šķidrumā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	šķidrums	_	_	obl	basic	2-3	
