#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Florence klīda un klīda pa peroniem, pa staciju, gar autoostu un tuneļiem, tik bezgalīgi vientuļa, tik viena, un viņai nebija nekādas daļas par garāmslīdošām ēnām un cilvēkiem, kurus vienu pēc otra fiksēja viņas acis.
1-1	0-8	Florence	npfsn5	Florence	person	*	*[2]	*->2-1	nsubj	basic	1-2	
1-2	9-14	klīda	vmnisi130an	klīst	_	_	_	_	root	basic	1-2	
1-3	15-17	un	cc	un	_	_	_	_	cc	basic	1-4	
1-4	18-23	klīda	vmnisi130an	klīst	_	_	_	_	conj	basic	1-2	
1-5	24-26	pa	sppd	pa	_	_	_	_	case	basic	1-6	
1-6	27-35	peroniem	ncmpd1	perons	_	_	_	_	obl	basic	1-2	
1-7	35-36	,	zc	,	_	_	_	_	punct	basic	1-9	
1-8	37-39	pa	spsa	pa	_	_	_	_	case	basic	1-9	
1-9	40-47	staciju	ncfsa4	stacija	_	_	_	_	conj	basic	1-6	
1-10	47-48	,	zc	,	_	_	_	_	punct	basic	1-12	
1-11	49-52	gar	spsa	gar	_	_	_	_	case	basic	1-12	
1-12	53-61	autoostu	ncfsa4	autoosta	_	_	_	_	conj	basic	1-6	
1-13	62-64	un	cc	un	_	_	_	_	cc	basic	1-14	
1-14	65-73	tuneļiem	ncmpd2	tunelis	_	_	_	_	conj	basic	1-12	
1-15	73-74	,	zc	,	_	_	_	_	punct	basic	1-14	
1-16	75-78	tik	r0q	tik	_	_	_	_	advmod	basic	1-17	
1-17	79-88	bezgalīgi	r0q	bezgalīgi	_	_	_	_	advmod	basic	1-18	
1-18	89-97	vientuļa	affsnnp	vientuļa	_	_	_	_	acl	basic	1-2	
1-19	97-98	,	zc	,	_	_	_	_	punct	basic	1-21	
1-20	99-102	tik	r0q	tik	_	_	_	_	advmod	basic	1-21	
1-21	103-108	viena	mcsfsn	viena	_	_	_	_	conj	basic	1-18	
1-22	108-109	,	zc	,	_	_	_	_	punct	basic	1-25	
1-23	110-112	un	cc	un	_	_	_	_	cc	basic	1-25	
1-24	113-118	viņai	pp3fsdn	viņa	_	_	*[2]	*->2-2	obl	basic	1-25	
1-25	119-125	nebija	vgnisii30ay	nebūt	_	_	_	_	conj	basic	1-2	
1-26	126-133	nekādas	pi0fsgy	nekāda	_	_	_	_	det	basic	1-27	
1-27	134-139	daļas	ncfsg4	daļa	_	_	_	_	nsubj	basic	1-25	
1-28	140-143	par	spsa	par	_	_	_	_	case	basic	1-30	
1-29	144-157	garāmslīdošām	arfpdnp	garāmslīdoša	_	_	_	_	amod	basic	1-30	
1-30	158-162	ēnām	ncfpd4	ēna	_	_	_	_	nmod	basic	1-27	
1-31	163-165	un	cc	un	_	_	_	_	cc	basic	1-32	
1-32	166-175	cilvēkiem	ncmpd1	cilvēks	_	_	*[1]	*->1-1	conj	basic	1-30	
1-33	175-176	,	zc	,	_	_	_	_	punct	basic	1-38	
1-34	177-182	kurus	pr0mpan	kurš	_	_	*[1]	*->1-2	det	basic	1-38	
1-35	183-188	vienu	mcsmsa	viens	_	_	_	_	obj	basic	1-38	
1-36	189-192	pēc	spsg	pēc	_	_	_	_	case	basic	1-37	
1-37	193-197	otra	mcsmsg	otrs	_	_	_	_	nmod	basic	1-35	
1-38	198-205	fiksēja	vmnist230an	fiksēt	_	_	_	_	acl	basic	1-30	
1-39	206-211	viņas	pp3fsgn	viņa	_	_	*[2]	*->2-3	det	basic	1-40	
1-40	212-216	acis	ncfpn6	acs	_	_	_	_	nsubj	basic	1-38	
1-41	216-217	.	zs	.	_	_	_	_	punct	basic	1-2	
