#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Tieši tobrīd viņi vizinājās pa šauriem celiņiem pie Neapoles.
1-1	0-5	Tieši	q	*	tieši	_	_	discourse	basic	1-2	
1-2	6-12	tobrīd	r0t	*	tobrīd	_	_	advmod	basic	1-4	
1-3	13-17	viņi	pp3mpnn	*	viņš	_	_	nsubj	basic	1-4	
1-4	18-27	vizinājās	vmyisi330an	*	vizināties	_	_	root	basic	1-4	
1-5	28-30	pa	sppd	*	pa	_	_	case	basic	1-7	
1-6	31-38	šauriem	afmpdnp	*	šaurs	_	_	amod	basic	1-7	
1-7	39-47	celiņiem	ncmpd1	*	celiņš	_	_	obl	basic	1-4	
1-8	48-51	pie	spsg	*	pie	_	_	case	basic	1-9	
1-9	52-60	Neapoles	npfsg5	*	Neapole	GPE	https://en.wikipedia.org/wiki/Naples	obl	basic	1-4	
1-10	60-61	.	zs	*	.	_	_	punct	basic	1-4	

#Text=Makss asi piebremzēja, lai nesabrauktu pāri ceļam ejošu suni.
2-1	63-68	Makss	npmsn1	*	Makss	person	*	nsubj	basic	2-3	
2-2	69-72	asi	rpm	*	asi	_	_	advmod	basic	2-3	
2-3	73-84	piebremzēja	vmnisi230an	*	piebremzēt	_	_	root	basic	2-3	
2-4	84-85	,	zc	*	,	_	_	punct	basic	2-6	
2-5	86-89	lai	cs	*	lai	_	_	mark	basic	2-6	
2-6	90-101	nesabrauktu	vmnc0t100ay	*	nesabraukt	_	_	advcl	basic	2-3	
2-7	102-106	pāri	spsd	*	pāri	_	_	case	basic	2-8	
2-8	107-112	ceļam	ncmsd1	*	ceļš	_	_	nmod	basic	2-9	
2-9	113-118	ejošu	vmnpdmsaapnp	*	iet	_	_	amod	basic	2-10	
2-10	119-123	suni	ncmsa2	*	suns	_	_	obj	basic	2-6	
2-11	123-124	.	zs	*	.	_	_	punct	basic	2-3	

#Text=Suns caur pieri palūkojās mašīnas stiklā un turpināja cienīgi soļot.
3-1	126-130	Suns	ncmsn2	*	suns	_	_	nsubj	basic	3-4	
3-2	131-135	caur	spsa	*	caur	_	_	case	basic	3-3	
3-3	136-141	pieri	ncfsa5	*	piere	_	_	obl	basic	3-4	
3-4	142-151	palūkojās	vmyisi230an	*	palūkoties	_	_	root	basic	3-4	
3-5	152-159	mašīnas	ncfsg4	*	mašīna	_	_	nmod	basic	3-6	
3-6	160-166	stiklā	ncmsl1	*	stikls	_	_	obl	basic	3-4	
3-7	167-169	un	cc	*	un	_	_	cc	basic	3-8	
3-8	170-179	turpināja	vpnist330an	*	turpināt	_	_	conj	basic	3-4	
3-9	180-187	cienīgi	rpm	*	cienīgi	_	_	advmod	basic	3-10	
3-10	188-193	soļot	vmnn0i2000n	*	soļot	_	_	xcomp	basic	3-8	
3-11	193-194	.	zs	*	.	_	_	punct	basic	3-4	
