#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Metu zemes suņiem un domāju, kad reiz pasaulē valdīs miers, lai kaut uz īsu brītiņu varētu pastaigāt nesakosts.
1-1	0-4	Metu	vmnist11san	*	mest	_	_	root	basic	1-1	
1-2	5-10	zemes	ncfsg5	*	zeme	_	_	iobj	basic	1-1	
1-3	11-17	suņiem	ncmpd2	*	suns	_	_	iobj	basic	1-1	
1-4	18-20	un	cc	*	un	_	_	cc	basic	1-5	
1-5	21-27	domāju	vmnipt21san	*	domāt	_	_	conj	basic	1-1	
1-6	27-28	,	zc	*	,	_	_	punct	basic	1-10	
1-7	29-32	kad	r0t	*	kad	_	_	advmod	basic	1-10	
1-8	33-37	reiz	r0t	*	reiz	_	_	advmod	basic	1-10	
1-9	38-45	pasaulē	ncfsl5	*	pasaule	_	_	obl	basic	1-10	
1-10	46-52	valdīs	vmnift330an	*	valdīt	_	_	ccomp	basic	1-5	
1-11	53-58	miers	ncmvn1	*	miers	_	_	nsubj	basic	1-10	
1-12	58-59	,	zc	*	,	_	_	punct	basic	1-18	
1-13	60-63	lai	cs	*	lai	_	_	mark	basic	1-18	
1-14	64-68	kaut	q	*	kaut	_	_	discourse	basic	1-17	
1-15	69-71	uz	spsa	*	uz	_	_	case	basic	1-17	
1-16	72-75	īsu	afmsanp	*	īss	_	_	amod	basic	1-17	
1-17	76-83	brītiņu	ncmsa1	*	brītiņš	_	_	obl	basic	1-19	
1-18	84-90	varētu	vonc0t300an	*	varēt	_	_	advcl	basic	1-10	
1-19	91-100	pastaigāt	vmnn0i2000n	*	pastaigāt	_	_	xcomp	basic	1-18	
1-20	101-110	nesakosts	vmnpdmsnpsnp	*	nesakost	_	_	acl	basic	1-19	
1-21	110-111	.	zs	*	.	_	_	punct	basic	1-1	

#Text=Miers pasaulē būs tad, kad nebūs vairs neviena suņa un nevienas nātres.
2-1	113-118	Miers	ncmvn1	*	miers	_	_	nsubj	basic	2-3	
2-2	119-126	pasaulē	ncfsl5	*	pasaule	_	_	obl	basic	2-3	
2-3	127-130	būs	vmnifii30an	*	būt	_	_	root	basic	2-3	
2-4	131-134	tad	r0t	*	tad	*->1-1	*[1]	advmod	basic	2-3	
2-5	134-135	,	zc	*	,	*->1-1	*[1]	punct	basic	2-7	
2-6	136-139	kad	r0t	*	kad	*->1-2	*[1]	advmod	basic	2-7	
2-7	140-145	nebūs	vmnifii30ay	*	nebūt	_	_	advcl	basic	2-4	
2-8	146-151	vairs	r0t	*	vairs	_	_	advmod	basic	2-7	
2-9	152-159	neviena	pi0msgy	*	neviens	_	_	det	basic	2-10	
2-10	160-164	suņa	ncmsg2	*	suns	_	_	nsubj	basic	2-7	
2-11	165-167	un	cc	*	un	_	_	cc	basic	2-13	
2-12	168-176	nevienas	pi0fsgy	*	neviena	_	_	det	basic	2-13	
2-13	177-183	nātres	ncfsg5	*	nātre	_	_	conj	basic	2-10	
2-14	183-184	.	zs	*	.	_	_	punct	basic	2-3	
