#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Gastons pastiepa roku, gribēdams pavērt lodziņu, tomēr roka slīdēja pār sienas tapeti un nevarēja satvert kloķi vai rūts rāmja spraugu.
1-1	0-7	Gastons	npmsn1	Gastons	person	*	*[1]	*->1-1	nsubj	basic	1-2	
1-2	8-16	pastiepa	vmnist130an	pastiept	_	_	_	_	root	basic	1-2	
1-3	17-21	roku	ncfsa4	roka	_	_	_	_	obj	basic	1-2	
1-4	21-22	,	zc	,	_	_	_	_	punct	basic	1-5	
1-5	23-32	gribēdams	vonppmsnap00	gribēt	_	_	_	_	acl	basic	1-2	
1-6	33-39	pavērt	vmnn0t1000n	pavērt	_	_	_	_	xcomp	basic	1-5	
1-7	40-47	lodziņu	ncmsa1	lodziņš	_	_	_	_	obj	basic	1-6	
1-8	47-48	,	zc	,	_	_	_	_	punct	basic	1-11	
1-9	49-54	tomēr	cc	tomēr	_	_	_	_	cc	basic	1-11	
1-10	55-59	roka	ncfsn4	roka	_	_	_	_	nsubj	basic	1-11	
1-11	60-67	slīdēja	vmnisi330an	slīdēt	_	_	_	_	conj	basic	1-2	
1-12	68-71	pār	spsa	pār	_	_	_	_	case	basic	1-14	
1-13	72-78	sienas	ncfsg4	siena	_	_	_	_	nmod	basic	1-14	
1-14	79-85	tapeti	ncfsa5	tapete	_	_	_	_	obl	basic	1-11	
1-15	86-88	un	cc	un	_	_	_	_	cc	basic	1-16	
1-16	89-97	nevarēja	vonist330an	nevarēt	_	_	_	_	conj	basic	1-11	
1-17	98-105	satvert	vmnn0t1000n	satvert	_	_	_	_	xcomp	basic	1-16	
1-18	106-111	kloķi	ncmsa2	kloķis	_	_	_	_	obj	basic	1-17	
1-19	112-115	vai	cc	vai	_	_	_	_	cc	basic	1-22	
1-20	116-120	rūts	ncfsg6	rūts	_	_	_	_	nmod	basic	1-21	
1-21	121-126	rāmja	ncmsg2	rāmis	_	_	_	_	nmod	basic	1-22	
1-22	127-134	spraugu	ncfsa4	sprauga	_	_	_	_	conj	basic	1-18	
1-23	134-135	.	zs	.	_	_	_	_	punct	basic	1-2	

#Text=Viņš ieliecās gultā tuvāk sienai, lai vismaz varētu paskatīties dziļāk un tālāk, kas ir aiz šī loga, bet atsitās pret sienu ar pieri.
2-1	137-141	Viņš	pp3msnn	viņš	_	_	*[1]	*->1-2	nsubj	basic	2-2	
2-2	142-150	ieliecās	vmyisi130an	ieliekties	_	_	_	_	root	basic	2-2	
2-3	151-156	gultā	ncfsl4	gulta	_	_	_	_	obl	basic	2-2	
2-4	157-162	tuvāk	rrp	tuvāk	_	_	_	_	case	basic	2-5	
2-5	163-169	sienai	ncfsd4	siena	_	_	_	_	obl	basic	2-2	
2-6	169-170	,	zc	,	_	_	_	_	punct	basic	2-9	
2-7	171-174	lai	cs	lai	_	_	_	_	mark	basic	2-9	
2-8	175-181	vismaz	r0q	vismaz	_	_	_	_	advmod	basic	2-9	
2-9	182-188	varētu	vonc0t300an	varēt	_	_	_	_	advcl	basic	2-2	
2-10	189-200	paskatīties	vmyn0t3000n	paskatīties	_	_	_	_	xcomp	basic	2-9	
2-11	201-207	dziļāk	rcp	dziļi	_	_	_	_	advmod	basic	2-10	
2-12	208-210	un	cc	un	_	_	_	_	cc	basic	2-13	
2-13	211-216	tālāk	rcp	tāli	_	_	_	_	conj	basic	2-11	
2-14	216-217	,	zc	,	_	_	_	_	punct	basic	2-16	
2-15	218-221	kas	pr000nn	kas	_	_	_	_	nsubj	basic	2-16	
2-16	222-224	ir	vmnipii30an	būt	_	_	_	_	iobj	basic	2-10	
2-17	225-228	aiz	spsg	aiz	_	_	_	_	case	basic	2-19	
2-18	229-231	šī	pd0msgn	šis	_	_	_	_	det	basic	2-19	
2-19	232-236	loga	ncmsg1	logs	_	_	_	_	obl	basic	2-16	
2-20	236-237	,	zc	,	_	_	_	_	punct	basic	2-22	
2-21	238-241	bet	cc	bet	_	_	_	_	cc	basic	2-22	
2-22	242-249	atsitās	vmyisi130an	atsisties	_	_	_	_	conj	basic	2-2	
2-23	250-254	pret	spsa	pret	_	_	_	_	case	basic	2-24	
2-24	255-260	sienu	ncfsa4	siena	_	_	_	_	obl	basic	2-22	
2-25	261-263	ar	spsa	ar	_	_	_	_	case	basic	2-26	
2-26	264-269	pieri	ncfsa5	piere	_	_	_	_	iobj	basic	2-22	
2-27	269-270	.	zs	.	_	_	_	_	punct	basic	2-2	
