#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Ziemeļmeita attālinājās, migla cēlās, laiva grima, ledusgabals drupačojās sīksmalkā putrā ..
1-1	0-11	Ziemeļmeita	npfsn4	*	Ziemeļmeita	nsubj	basic	1-2	
1-2	12-23	attālinājās	vmyisi330an	*	attālināties	root	basic	1-2	
1-3	23-24	,	zc	*	,	punct	basic	1-5	
1-4	25-30	migla	ncfsn4	*	migla	nsubj	basic	1-5	
1-5	31-36	cēlās	vmyist130an	*	celties	conj	basic	1-2	
1-6	36-37	,	zc	*	,	punct	basic	1-7	
1-7	38-43	laiva	ncfsn4	*	laiva	conj	basic	1-2	
1-8	44-49	grima	vmnisi130an	*	grimt	iobj	basic	1-7	
1-9	49-50	,	zc	*	,	punct	basic	1-11	
1-10	51-62	ledusgabals	ncmsn1	*	ledusgabals	nsubj	basic	1-11	
1-11	63-73	drupačojās	vmnisi230an	*	drupačojās	conj	basic	1-2	
1-12	74-83	sīksmalkā	affslnp	*	sīksmalka	amod	basic	1-13	
1-13	84-89	putrā	ncfsl4	*	putra	obl	basic	1-11	
1-14	90-92	..	zs	*	..	punct	basic	1-2	
