#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Nadīne iziet pa durvīm.
1-1	0-6	Nadīne	npfsn5	Nadīne	person	*	nsubj	basic	1-2	
1-2	7-12	iziet	vmnn0ii000n	iziet	_	_	root	basic	1-2	
1-3	13-15	pa	sppd	pa	_	_	case	basic	1-4	
1-4	16-22	durvīm	ncfdd6	durvis	_	_	obl	basic	1-2	
1-5	22-23	.	zs	.	_	_	punct	basic	1-2	

#Text=Iekšā nāk opis.
2-1	25-30	Iekšā	r0p	iekšā	_	_	advmod	basic	2-2	
2-2	31-34	nāk	vmnipi130an	nākt	_	_	root	basic	2-2	
2-3	35-39	opis	ncmsn2	opis	_	_	nsubj	basic	2-2	
2-4	39-40	.	zs	.	_	_	punct	basic	2-2	
