#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Un, otrām kārtām, man vajadzēs zaļākas acis.
1-1	0-2	Un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc	basic	1-7	
1-2	2-3	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-4	
1-3	4-9	otrām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur\|NumType=Card	*	*	mcsfpd	otra	nummod	basic	1-4	
1-4	10-16	kārtām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur	*	*	ncfpd4	kārta	parataxis	basic	1-7	
1-5	16-17	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-4	
1-6	18-21	man	*	Sing	Dat	*	*	*	*	*	*	Case=Dat\|Number=Sing\|Person=1\|PronType=Prs	1	*	pp10sdn	es	obl	basic	1-7	
1-7	22-30	vajadzēs	*	*	*	*	*	Fut	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Fut\|VerbForm=Fin\|Voice=Act	3	*	vmnift330an	vajadzēt	root	basic	1-7	
1-8	31-38	zaļākas	Fem	Plur	Acc	Cmp	*	*	*	*	*	Case=Acc\|Degree=Cmp\|Gender=Fem\|Number=Plur	*	*	affpanc	zaļa	amod	basic	1-9	
1-9	39-43	acis	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur	*	*	ncfpa6	acs	obj	basic	1-7	
1-10	43-44	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	punct	basic	1-7	
