#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Tā nu tu tur čāpo.
1-1	0-2	Tā	r0m	tā	_	_	advmod	basic	1-5	
1-2	3-5	nu	r0t	nu	_	_	advmod	basic	1-5	
1-3	6-8	tu	pp20snn	tu	*[2]	*->2-1	nsubj	basic	1-5	
1-4	9-12	tur	r0p	tur	_	_	advmod	basic	1-5	
1-5	13-17	čāpo	vmnipi22san	čāpot	_	_	root	basic	1-5	
1-6	17-18	.	zs	.	_	_	punct	basic	1-5	

#Text=Zem kājām čab sudrabainās lapas, saule ceļas arvien augstāk un augstāk, tas ir tavs vienīgais orientieris, drīz vien sametas pagalam karsti, kailie koki nekādu pavēni nesniedz.
2-1	20-23	Zem	sppd	zem	_	_	case	basic	2-2	
2-2	24-29	kājām	ncfpd4	kāja	_	_	obl	basic	2-3	
2-3	30-33	čab	vmnipi330an	čabēt	_	_	root	basic	2-3	
2-4	34-45	sudrabainās	arfsgyp	sudrabaina	_	_	amod	basic	2-5	
2-5	46-51	lapas	ncfsg4	lapa	_	_	nsubj	basic	2-3	
2-6	51-52	,	zc	,	_	_	punct	basic	2-8	
2-7	53-58	saule	ncfsn5	saule	*[1]	*->1-1	nsubj	basic	2-8	
2-8	59-64	ceļas	vmyipt130an	celties	_	_	conj	basic	2-3	
2-9	65-71	arvien	r0t	arvien	_	_	advmod	basic	2-10	
2-10	72-79	augstāk	rcm	augsti	_	_	advmod	basic	2-8	
2-11	80-82	un	cc	un	_	_	cc	basic	2-12	
2-12	83-90	augstāk	rcm	augsti	_	_	conj	basic	2-10	
2-13	90-91	,	zc	,	_	_	punct	basic	2-18	
2-14	92-95	tas	pd0msnn	tas	*[1]	*->1-2	nsubj	basic	2-18	
2-15	96-98	ir	vcnipii30an	būt	_	_	cop	basic	2-18	
2-16	99-103	tavs	ps0msnn	tavs	*[2]	*->2-2	det	basic	2-18	
2-17	104-113	vienīgais	armsnyp	vienīgs	_	_	amod	basic	2-18	
2-18	114-125	orientieris	ncmsn2	orientieris	*[1]	*->1-3	conj	basic	2-3	
2-19	125-126	,	zc	,	_	_	punct	basic	2-24	
2-20	127-131	drīz	r0t	drīz	_	_	advmod	basic	2-24	
2-21	132-136	vien	q	vien	_	_	discourse	basic	2-20	
2-22	137-144	sametas	vtyipi130an	samesties	_	_	aux	basic	2-24	
2-23	145-152	pagalam	r0m	pagalam	_	_	advmod	basic	2-24	
2-24	153-159	karsti	rpm	karsti	_	_	conj	basic	2-3	
2-25	159-160	,	zc	,	_	_	punct	basic	2-30	
2-26	161-167	kailie	afmpnyp	kails	_	_	amod	basic	2-27	
2-27	168-172	koki	ncmpn1	koks	_	_	nsubj	basic	2-30	
2-28	173-179	nekādu	pi0mpgy	nekāds	_	_	det	basic	2-29	
2-29	180-186	pavēni	ncmsa2	pavēnis	_	_	obj	basic	2-30	
2-30	187-195	nesniedz	vmnipt130ay	nesniegt	_	_	conj	basic	2-3	
2-31	195-196	.	zs	.	_	_	punct	basic	2-3	

#Text=Tu novelc tēkreklu un satīņā ap galvu kā turbānu.
3-1	198-200	Tu	pp20snn	tu	*[2]	*->2-3	nsubj	basic	3-2	
3-2	201-207	novelc	vmnipt12san	novilkt	_	_	root	basic	3-2	
3-3	208-216	tēkreklu	npmsa1	tēkrekls	_	_	obj	basic	3-2	
3-4	217-219	un	cc	un	_	_	cc	basic	3-5	
3-5	220-226	satīņā	vmnipt230an	satīņāt	_	_	conj	basic	3-2	
3-6	227-229	ap	spsa	ap	_	_	case	basic	3-7	
3-7	230-235	galvu	ncfsa4	galva	_	_	iobj	basic	3-5	
3-8	236-238	kā	cs	kā	_	_	mark	basic	3-9	
3-9	239-246	turbānu	ncmsa1	turbāns	_	_	acl	basic	3-5	
3-10	246-247	.	zs	.	_	_	punct	basic	3-2	

#Text=Vismaz kaut kas.
4-1	249-255	Vismaz	r0q	vismaz	_	_	advmod	basic	4-3	
4-2	256-260	kaut	q	kaut	_	_	discourse	basic	4-3	
4-3	261-264	kas	pi000nn	kas	_	_	root	basic	4-3	
4-4	264-265	.	zs	.	_	_	punct	basic	4-3	

#Text=Džemperi apsien ap vidu, lai nav jānes rokā.
5-1	267-275	Džemperi	ncmsa2	džemperis	_	_	obj	basic	5-2	
5-2	276-282	apsien	vmnipt130an	apsiet	_	_	root	basic	5-2	
5-3	283-285	ap	spsa	ap	_	_	case	basic	5-4	
5-4	286-290	vidu	ncmva3	vidus	_	_	obl	basic	5-2	
5-5	290-291	,	zc	,	_	_	punct	basic	5-8	
5-6	292-295	lai	cs	lai	_	_	mark	basic	5-8	
5-7	296-299	nav	vcnipii30ay	nebūt	_	_	aux	basic	5-8	
5-8	300-305	jānes	vmnd0t100an	nest	_	_	advcl	basic	5-2	
5-9	306-310	rokā	ncfsl4	roka	_	_	acl	basic	5-8	
5-10	310-311	.	zs	.	_	_	punct	basic	5-2	

#Text=Tu ej, kur deguns rāda.
6-1	313-315	Tu	pp20snn	tu	*[2]	*->2-4	nsubj	basic	6-2	
6-2	316-318	ej	vmnipii2san	iet	_	_	root	basic	6-2	
6-3	318-319	,	zc	,	_	_	punct	basic	6-6	
6-4	320-323	kur	r0p	kur	_	_	advmod	basic	6-6	
6-5	324-330	deguns	ncmsn1	deguns	_	_	nsubj	basic	6-6	
6-6	331-335	rāda	vmnipt330an	rādīt	_	_	advcl	basic	6-2	
6-7	335-336	.	zs	.	_	_	punct	basic	6-2	
