#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Dzīvnieki bija netīri, cirka inventārs nolietots, bet no jautrā čehu artistu seksteta nāca tāda aizrautība, it kā viņi pildītu sev vien zināmu misiju, nevis vilktu dzīvību, klīzdami no vienas Krievijas pilsētas uz citu, un tagad cauri Baltijas valstīm pamazām tuvodamies dzimtajai Padurbicei.
1-1	0-9	Dzīvnieki	ncmpn1	dzīvnieks	_	_	_	_	nsubj	basic	1-3	
1-2	10-14	bija	vcnisii30an	būt	_	_	_	_	cop	basic	1-3	
1-3	15-21	netīri	afmpnnp	netīrs	_	_	_	_	root	basic	1-3	
1-4	21-22	,	zc	,	_	_	_	_	punct	basic	1-7	
1-5	23-28	cirka	ncmsg1	cirks	_	_	_	_	nmod	basic	1-6	
1-6	29-38	inventārs	ncmsn1	inventārs	_	_	_	_	nsubj:pass	basic	1-7	
1-7	39-48	nolietots	vmnpdmsnpsnp	nolietot	_	_	_	_	conj	basic	1-3	
1-8	48-49	,	zc	,	_	_	_	_	punct	basic	1-15	
1-9	50-53	bet	cc	bet	_	_	_	_	cc	basic	1-15	
1-10	54-56	no	spsg	no	_	_	_	_	case	basic	1-14	
1-11	57-63	jautrā	afmsgyp	jautrs	_	_	_	_	amod	basic	1-14	
1-12	64-68	čehu	ncmpg1	čehs	_	_	*[1]	*->1-1	nmod	basic	1-13	
1-13	69-76	artistu	ncmpg1	artists	_	_	*[1]	*->1-1	nmod	basic	1-14	
1-14	77-85	seksteta	ncmsg1	sekstets	_	_	*[1]	*->1-1	iobj	basic	1-15	
1-15	86-90	nāca	vmnisi130an	nākt	_	_	_	_	conj	basic	1-3	
1-16	91-95	tāda	pd0fsnn	tāda	_	_	_	_	det	basic	1-17	
1-17	96-106	aizrautība	ncfsn4	aizrautība	_	_	_	_	nsubj	basic	1-15	
1-18	106-107	,	zc	,	_	_	_	_	punct	basic	1-22	
1-19	108-110	it	q	it	_	_	_	_	discourse	basic	1-20	
1-20	111-113	kā	cs	kā	_	_	_	_	mark	basic	1-22	
1-21	114-118	viņi	pp3mpnn	viņš	_	_	*[1]	*->1-2	nsubj	basic	1-22	
1-22	119-126	pildītu	vmnc0t300an	pildīt	_	_	_	_	advcl	basic	1-17	
1-23	127-130	sev	px000dn	sevis	_	_	*[1]	*->1-3	iobj	basic	1-25	
1-24	131-135	vien	q	vien	_	_	_	_	discourse	basic	1-23	
1-25	136-142	zināmu	vmnpdfsappnp	zināt	_	_	_	_	amod	basic	1-26	
1-26	143-149	misiju	ncfsa4	misija	_	_	_	_	obj	basic	1-22	
1-27	149-150	,	zc	,	_	_	_	_	punct	basic	1-29	
1-28	151-156	nevis	cc	nevis	_	_	_	_	cc	basic	1-29	
1-29	157-163	vilktu	vmnc0t100an	vilkt	_	_	_	_	conj	basic	1-22	
1-30	164-171	dzīvību	ncfsa4	dzīvība	_	_	_	_	obj	basic	1-29	
1-31	171-172	,	zc	,	_	_	_	_	punct	basic	1-32	
1-32	173-181	klīzdami	vmnppmpnap0p	klīst	_	_	_	_	acl	basic	1-29	
1-33	182-184	no	spsg	no	_	_	_	_	case	basic	1-36	
1-34	185-191	vienas	mcsfsg	viena	_	_	_	_	nummod	basic	1-36	
1-35	192-201	Krievijas	npfsg4	Krievija	GPE	https://en.wikipedia.org/wiki/Russia	_	_	nmod	basic	1-36	
1-36	202-210	pilsētas	ncfsg4	pilsēta	_	_	_	_	obl	basic	1-32	
1-37	211-213	uz	spsa	uz	_	_	_	_	case	basic	1-38	
1-38	214-218	citu	pi0msan	cits	_	_	_	_	obl	basic	1-32	
1-39	218-219	,	zc	,	_	_	_	_	punct	basic	1-46	
1-40	220-222	un	cc	un	_	_	_	_	cc	basic	1-46	
1-41	223-228	tagad	r0t	tagad	_	_	_	_	advmod	basic	1-46	
