#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Žilde.
1-1	0-5	Žilde	npmsn5	Žilde	person	*	root	basic	1-1	
1-2	5-6	.	zs	.	_	_	punct	basic	1-1	

#Text=Netēlo varoni.
2-1	8-14	Netēlo	vmnipt230ay	netēlot	_	_	root	basic	2-1	
2-2	15-21	varoni	ncmsa2	varonis	_	_	obj	basic	2-1	
2-3	21-22	.	zs	.	_	_	punct	basic	2-1	

#Text=Laid viņu vaļā un brien laukā!
3-1	24-28	Laid	vmnm0t12san	laist	_	_	root	basic	3-1	
3-2	29-33	viņu	pp3mpgn	viņš	_	_	iobj	basic	3-1	
3-3	34-38	vaļā	r0m	vaļā	_	_	advmod	basic	3-1	
3-4	39-41	un	cc	un	_	_	cc	basic	3-5	
3-5	42-47	brien	vmnm0i12san	brist	_	_	conj	basic	3-1	
3-6	48-53	laukā	ncmsl1	lauks	_	_	obl	basic	3-5	
3-7	53-54	!	zs	!	_	_	punct	basic	3-1	
