#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Mūsu saruna galīgi nevedas.
1-1	0-4	Mūsu	pp10pgn	*	mēs	_	_	_	_	det	basic	1-2	
1-2	5-11	saruna	ncfsn4	*	saruna	_	_	_	_	nsubj	basic	1-4	
1-3	12-18	galīgi	r0q	*	galīgi	_	_	_	_	advmod	basic	1-4	
1-4	19-26	nevedas	vmyipi130ay	*	nevesties	_	_	_	_	root	basic	1-4	
1-5	26-27	.	zs	*	.	_	_	_	_	punct	basic	1-4	

#Text=Es taču nevaru viņam teikt, ka apstāties vairs nav manā varā.
2-1	29-31	Es	pp10snn	*	es	_	_	*->2-1	*[2]	nsubj	basic	2-3	
2-2	32-36	taču	q	*	taču	_	_	_	_	discourse	basic	2-3	
2-3	37-43	nevaru	vonipt31san	*	nevarēt	_	_	_	_	root	basic	2-3	
2-4	44-49	viņam	pp3msdn	*	viņš	_	_	_	_	iobj	basic	2-5	
2-5	50-55	teikt	vmnn0t1000n	*	teikt	_	_	_	_	xcomp	basic	2-3	
2-6	55-56	,	zc	*	,	_	_	_	_	punct	basic	2-10	
2-7	57-59	ka	cs	*	ka	_	_	_	_	mark	basic	2-10	
2-8	60-69	apstāties	vmyn0i1000n	*	apstāties	_	_	_	_	ccomp	basic	2-10	
2-9	70-75	vairs	r0t	*	vairs	_	_	_	_	advmod	basic	2-10	
2-10	76-79	nav	vgnipii30ay	*	nebūt	_	_	_	_	ccomp	basic	2-5	
2-11	80-84	manā	ps0fsln	*	mana	_	_	_	_	det	basic	2-12	
2-12	85-89	varā	ncfsl4	*	vara	_	_	_	_	obl	basic	2-10	
2-13	89-90	.	zs	*	.	_	_	_	_	punct	basic	2-3	

#Text=Esmu no rīta sastrīdējusies ar Ibisu, paģiraina devusies uz lekcijām un pēkšņi uz līdzenas vietas baltas aprīļa dienas vidū iekritusi tādā kā straumē, un tagad mani nes.
3-1	92-96	Esmu	vcnipii1san	*	būt	_	_	_	_	aux	basic	3-4	
3-2	97-99	no	spsg	*	no	_	_	_	_	case	basic	3-3	
3-3	100-104	rīta	ncmsg1	*	rīts	_	_	_	_	obl	basic	3-4	
3-4	105-119	sastrīdējusies	vmypdfsnasnp	*	sastrīdēties	_	_	_	_	root	basic	3-4	
3-5	120-122	ar	spsa	*	ar	_	_	_	_	case	basic	3-6	
3-6	123-128	Ibisu	npmsa1	*	Ibiss	person	*	_	_	iobj	basic	3-4	
3-7	128-129	,	zc	*	,	_	_	_	_	punct	basic	3-9	
3-8	130-139	paģiraina	affsnnp	*	paģiraina	_	_	_	_	acl	basic	3-9	
3-9	140-148	devusies	vmypdfsnasnp	*	doties	_	_	_	_	conj	basic	3-4	
3-10	149-151	uz	sppd	*	uz	_	_	_	_	case	basic	3-11	
3-11	152-160	lekcijām	ncfpd4	*	lekcija	_	_	_	_	obl	basic	3-9	
