#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=– Es runāju nopietni, ar faktiem.
1-1	0-1	–	zd	–	punct	basic	1-3	
1-2	2-4	Es	pp10snn	es	nsubj	basic	1-3	
1-3	5-11	runāju	vmnipt21san	runāt	root	basic	1-3	
1-4	12-20	nopietni	rpm	nopietni	advmod	basic	1-3	
1-5	20-21	,	zc	,	punct	basic	1-7	
1-6	22-24	ar	sppd	ar	case	basic	1-7	
1-7	25-32	faktiem	ncmpd1	fakts	conj	basic	1-4	
1-8	32-33	.	zs	.	punct	basic	1-3	

#Text=Ēdiena maiņa izmainīja viņa fizisko spēku un veicināja smadzeņu pastiprinātu darbību un attīstību.
2-1	35-41	Ēdiena	ncmsg1	ēdiens	nmod	basic	2-2	
2-2	42-47	maiņa	ncfsn4	maiņa	nsubj	basic	2-3	
2-3	48-57	izmainīja	vmnist330an	izmainīt	root	basic	2-3	
2-4	58-62	viņa	pp3msgn	viņš	det	basic	2-6	
2-5	63-70	fizisko	armsayp	fizisks	amod	basic	2-6	
2-6	71-76	spēku	ncmsa1	spēks	obj	basic	2-3	
2-7	77-79	un	cc	un	cc	basic	2-8	
2-8	80-89	veicināja	vmnist330an	veicināt	conj	basic	2-3	
2-9	90-98	smadzeņu	ncfdg5	smadzenes	nmod	basic	2-11	
2-10	99-111	pastiprinātu	vmnc0t300an	pastiprināt	dep	basic	2-11	
2-11	112-119	darbību	ncfsa4	darbība	obj	basic	2-8	
2-12	120-122	un	cc	un	cc	basic	2-13	
2-13	123-132	attīstību	ncfsa4	attīstība	conj	basic	2-11	
2-14	132-133	.	zs	.	punct	basic	2-3	
