#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=b) vai noteikusi, ka darba devēja uzņēmums galīgi ir slēgts un ka pieejamā manta nav pietiekama, lai garantētu procesa sākšanu.
1-1	0-1	b	_	_	_	_	_	_	_	_	_	_	_	_	xx	b	parataxis	basic	1-4	
1-2	1-2	)	_	_	_	_	_	_	_	_	_	_	_	_	zb	)	punct	basic	1-1	
1-3	3-6	vai	_	_	_	_	_	_	_	_	_	_	_	_	cs	vai	mark	basic	1-4	
1-4	7-16	noteikusi	Fem	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdfsnasnpn	noteikt	root	basic	1-4	
1-5	16-17	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-12	
1-6	18-20	ka	_	_	_	_	_	_	_	_	_	_	_	_	cs	ka	mark	basic	1-12	
1-7	21-26	darba	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	darbs	nmod	basic	1-8	
1-8	27-33	devēja	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	devējs	nmod	basic	1-9	
1-9	34-42	uzņēmums	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	uzņēmums	nsubj:pass	basic	1-12	
1-10	43-49	galīgi	_	_	_	_	_	_	_	_	_	_	_	_	r0q	galīgi	advmod	basic	1-12	
1-11	50-52	ir	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30an	būt	aux:pass	basic	1-12	
1-12	53-59	slēgts	Masc	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmsnpsnpn	slēgt	ccomp	basic	1-4	
1-13	60-62	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc	basic	1-18	
1-14	63-65	ka	_	_	_	_	_	_	_	_	_	_	_	_	cs	ka	mark	basic	1-18	
1-15	66-74	pieejamā	Fem	Sing	Nom	Pos	*	Pres	*	Pass	*	Case=Nom\|Definite=Def\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	*	vmnpdfsnppypn	pieiet	amod	basic	1-16	
1-16	75-80	manta	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	manta	nsubj	basic	1-18	
1-17	81-84	nav	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Neg\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30ay	nebūt	cop	basic	1-18	
1-18	85-95	pietiekama	Fem	Sing	Nom	Pos	*	Pres	*	Pass	*	Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	*	vgnpdfsnppnpn	pietikt	conj	basic	1-12	
1-19	95-96	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-21	
1-20	97-100	lai	_	_	_	_	_	_	_	_	_	_	_	_	cs	lai	mark	basic	1-21	
1-21	101-110	garantētu	*	*	*	*	*	*	Cnd	Act	*	Mood=Cnd\|Polarity=Pos\|VerbForm=Fin\|Voice=Act	*	*	vmnc0t200an	garantēt	advcl	basic	1-18	
1-22	111-118	procesa	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	process	nmod	basic	1-23	
1-23	119-126	sākšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	sākšana	obj	basic	1-21	
1-24	126-127	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	punct	basic	1-4	
