#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=a) nepilna darba laika darbiniekus Direktīvas 97/81/EK nozīmē;
1-1	0-1	a	_	_	_	_	_	_	_	_	_	_	_	_	xx	a	_	_	parataxis	basic	1-6	
1-2	1-2	)	_	_	_	_	_	_	_	_	_	_	_	_	zb	)	_	_	punct	basic	1-1	
1-3	3-10	nepilna	Masc	Sing	Gen	Pos	*	*	*	*	*	Case=Gen\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	armsgnp	nepilns	_	_	amod	basic	1-5	
1-4	11-16	darba	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	darbs	_	_	nmod	basic	1-5	
1-5	17-22	laika	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	laiks	_	_	nmod	basic	1-6	
1-6	23-34	darbiniekus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa1	darbinieks	_	_	root	basic	1-6	
1-7	35-45	Direktīvas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	direktīva	entity[1]	*[1]	nmod	basic	1-8	
1-8	46-48	97	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	97	entity[1]	*[1]	nmod	basic	1-13	
1-9	48-49	/	_	_	_	_	_	_	_	_	_	_	_	_	zx	/	entity[1]	*[1]	flat:name	basic	1-8	
1-10	49-51	81	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	81	entity[1]	*[1]	flat:name	basic	1-8	
1-11	51-52	/	_	_	_	_	_	_	_	_	_	_	_	_	zx	/	entity[1]	*[1]	flat:name	basic	1-8	
1-12	52-54	EK	*	*	*	*	*	*	*	*	*	Abbr=Yes	*	*	yp	EK	entity[1]	*[1]	flat:name	basic	1-8	
1-13	55-61	nozīmē	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl5	nozīmēt	_	_	acl	basic	1-6	
1-14	61-62	;	_	_	_	_	_	_	_	_	_	_	_	_	zc	\;	_	_	punct	basic	1-6	
