#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=2. Dalībvalstis dara Komisijai zināmus tiesību aktus, ko tās pieņēmušas jomā, uz kuru attiecas šī direktīva.
1-1	0-2	2.	*	*	*	*	*	*	*	*	*	NumType=Ord	*	*	xo	2.	_	_	_	_	obl	basic	1-3	
1-2	3-15	Dalībvalstis	Fem	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Plur	*	*	ncfpn6	dalībvalsts	_	_	*[2]	*->2-1	nsubj	basic	1-3	
1-3	16-20	dara	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt330an	darīt	_	_	_	_	root	basic	1-3	
1-4	21-30	Komisijai	Fem	Sing	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Sing	*	*	ncfsd4	komisija	organization	*	_	_	iobj	basic	1-3	
1-5	31-38	zināmus	Masc	Plur	Acc	Pos	*	Pres	*	Pass	*	Case=Acc\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Plur\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	*	vmnpdmpappnpn	zināt	_	_	_	_	acl	basic	1-3	
1-6	39-46	tiesību	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg4	tiesības	_	_	_	_	nmod	basic	1-7	
1-7	47-52	aktus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa1	akts	_	_	*[1]	*->1-1	obj	basic	1-3	
1-8	52-53	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	_	_	punct	basic	1-11	
1-9	54-56	ko	*	*	Acc	*	*	*	*	*	*	Case=Acc\|PronType=Rel	*	*	pr000an	kas	_	_	*[1]	*->1-2	obj	basic	1-11	
1-10	57-60	tās	Fem	Plur	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Plur\|PronType=Dem	*	*	pd0fpnn	tā	_	_	*[2]	*->2-2	nsubj	basic	1-11	
1-11	61-71	pieņēmušas	Fem	Plur	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Plur\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdfpnasnpn	pieņemt	_	_	_	_	acl	basic	1-7	
1-12	72-76	jomā	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl4	joma	_	_	*[3]	*->3-1	obl	basic	1-11	
1-13	76-77	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	_	_	punct	basic	1-16	
1-14	78-80	uz	_	_	_	_	_	_	_	_	_	_	_	_	spsa	uz	_	_	*[3]	*->3-2	case	basic	1-15	
1-15	81-85	kuru	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing\|PronType=Rel	*	*	pr0fsan	kura	_	_	*[3]	*->3-2	obl	basic	1-16	
1-16	86-94	attiecas	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Reflex=Yes\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmyipi130an	attiekties	_	_	_	_	acl	basic	1-12	
1-17	95-97	šī	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing\|PronType=Dem	*	*	pd0fsnn	šī	_	_	_	_	det	basic	1-18	
1-18	98-107	direktīva	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	direktīva	_	_	_	_	nsubj	basic	1-16	
1-19	107-108	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	_	_	punct	basic	1-3	
