#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=(3) Darba devējs nodrošina uzticības personas ar nepieciešamajiem līdzekļiem, kā arī darba laika ietvaros piešķir tām laiku, kas uzticības personu pienākumu veikšanai noteikts koplīgumā vai citā rakstveida līgumā starp darba devēju un nodarbinātajiem, lai uzticības persona varētu īstenot savas tiesības un pienākumus darba aizsardzības jomā.
1-1	0-1	(	zb	*	(	_	_	punct	basic	1-2	
1-2	1-2	3	xn	*	3	_	_	parataxis	basic	1-6	
1-3	2-3	)	zb	*	)	_	_	punct	basic	1-2	
1-4	4-9	Darba	ncmsg1	*	darbs	_	_	nmod	basic	1-5	
1-5	10-16	devējs	ncmsn1	*	devējs	_	_	nsubj	basic	1-6	
1-6	17-26	nodrošina	vmnipt330an	*	nodrošināt	_	_	root	basic	1-6	
1-7	27-36	uzticības	ncfsg4	*	uzticība	*->1-1	*[1]	nmod	basic	1-8	
1-8	37-45	personas	ncfsg4	*	persona	*->1-1	*[1]	iobj	basic	1-6	
1-9	46-48	ar	sppd	*	ar	_	_	case	basic	1-11	
1-10	49-65	nepieciešamajiem	afmpdyp	*	nepieciešams	_	_	amod	basic	1-11	
1-11	66-76	līdzekļiem	ncmpd2	*	līdzeklis	_	_	nmod	basic	1-6	
1-12	76-77	,	zc	*	,	_	_	punct	basic	1-18	
1-13	78-80	kā	cs	*	kā	_	_	cc	basic	1-18	
1-14	81-84	arī	q	*	arī	_	_	discourse	basic	1-13	
1-15	85-90	darba	ncmsg1	*	darbs	_	_	nmod	basic	1-16	
1-16	91-96	laika	ncmsg1	*	laiks	_	_	nmod	basic	1-17	
1-17	97-105	ietvaros	ncmpl1	*	ietvars	_	_	obl	basic	1-18	
1-18	106-113	piešķir	vmnipt130an	*	piešķirt	_	_	conj	basic	1-6	
1-19	114-117	tām	pd0fpdn	*	tā	*->1-2	*[1]	iobj	basic	1-18	
1-20	118-123	laiku	ncmsa1	*	laiks	*->2-1	*[2]	obj	basic	1-18	
1-21	123-124	,	zc	*	,	_	_	punct	basic	1-27	
1-22	125-128	kas	pr000nn	*	kas	*->2-2	*[2]	nsubj:pass	basic	1-27	
1-23	129-138	uzticības	ncfsg4	*	uzticība	*->1-3	*[1]	nmod	basic	1-24	
1-24	139-146	personu	ncfpg4	*	persona	*->1-3	*[1]	nmod	basic	1-25	
1-25	147-156	pienākumu	ncmpg1	*	pienākums	_	_	nmod	basic	1-26	
1-26	157-166	veikšanai	ncfsd4	*	veikšana	_	_	iobj	basic	1-27	
1-27	167-175	noteikts	vmnpdmsnpsnp	*	noteikt	_	_	acl	basic	1-20	
1-28	176-185	koplīgumā	ncmsl1	*	koplīgums	_	_	obl	basic	1-27	
1-29	186-189	vai	cc	*	vai	_	_	cc	basic	1-32	
1-30	190-194	citā	pi0fsln	*	cita	_	_	det	basic	1-32	
1-31	195-205	rakstveida	nc00gg	*	rakstveida	_	_	nmod	basic	1-32	
1-32	206-212	līgumā	ncmsl1	*	līgums	_	_	conj	basic	1-28	
1-33	213-218	starp	spsa	*	starp	_	_	case	basic	1-35	
1-34	219-224	darba	ncmsg1	*	darbs	_	_	nmod	basic	1-35	
1-35	225-231	devēju	ncmsa1	*	devējs	_	_	nmod	basic	1-32	
1-36	232-234	un	cc	*	un	_	_	cc	basic	1-37	
1-37	235-250	nodarbinātajiem	vmnpdmpdpsyp	*	nodarbināt	_	_	conj	basic	1-35	
1-38	250-251	,	zc	*	,	_	_	punct	basic	1-42	
1-39	252-255	lai	cs	*	lai	_	_	mark	basic	1-42	
1-40	256-265	uzticības	ncfsg4	*	uzticība	*->1-4	*[1]	nmod	basic	1-41	
1-41	266-273	persona	ncfsn4	*	persona	*->1-4	*[1]	nsubj	basic	1-42	
1-42	274-280	varētu	vonc0t300an	*	varēt	_	_	advcl	basic	1-6	
1-43	281-288	īstenot	vmnn0t2000n	*	īstenot	_	_	xcomp	basic	1-42	
1-44	289-294	savas	ps0fpan	*	sava	*->1-5	*[1]	det	basic	1-45	
1-45	295-303	tiesības	ncfda4	*	tiesības	_	_	obj	basic	1-43	
1-46	304-306	un	cc	*	un	_	_	cc	basic	1-47	
1-47	307-317	pienākumus	ncmpa1	*	pienākums	_	_	conj	basic	1-45	
1-48	318-323	darba	ncmsg1	*	darbs	_	_	nmod	basic	1-49	
1-49	324-336	aizsardzības	ncfsg4	*	aizsardzība	_	_	nmod	basic	1-50	
1-50	337-341	jomā	ncfsl4	*	joma	_	_	obl	basic	1-43	
1-51	341-342	.	zs	*	.	_	_	punct	basic	1-6	

#Text=Darba devējs izmaksā uzticības personām vidējo izpeļņu par šo laiku.
2-1	344-349	Darba	ncmsg1	*	darbs	_	_	nmod	basic	2-2	
2-2	350-356	devējs	ncmsn1	*	devējs	_	_	nsubj	basic	2-3	
2-3	357-364	izmaksā	vmnipt230an	*	izmaksāt	_	_	root	basic	2-3	
2-4	365-374	uzticības	ncfsg4	*	uzticība	*->1-6	*[1]	nmod	basic	2-5	
2-5	375-383	personām	ncfpd4	*	persona	*->1-6	*[1]	iobj	basic	2-3	
2-6	384-390	vidējo	arfsayp	*	vidēja	_	_	amod	basic	2-7	
2-7	391-398	izpeļņu	ncfsa4	*	izpeļņa	_	_	obj	basic	2-3	
2-8	399-402	par	spsa	*	par	_	_	case	basic	2-10	
2-9	403-405	šo	pd0msan	*	šis	_	_	det	basic	2-10	
2-10	406-411	laiku	ncmsa1	*	laiks	_	_	iobj	basic	2-3	
2-11	411-412	.	zs	*	.	_	_	punct	basic	2-3	
