#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=2. Draudze līdz 2008.gada 1.jūnijam paziņo Tieslietu ministrijai šā likuma 14.panta pirmajā daļā minētos datus.
1-1	0-2	2.	xo	2.	_	_	parataxis	basic	1-8	
1-2	3-10	Draudze	ncfsn5	draudze	_	_	nsubj	basic	1-8	
1-3	11-15	līdz	spsd	līdz	time[1]	*[1]	case	basic	1-7	
1-4	16-21	2008.	xo	2008.	time[1]	*[1]	amod	basic	1-5	
1-5	21-25	gada	ncmsg1	gads	time[1]	*[1]	nmod	basic	1-7	
1-6	26-28	1.	xo	1.	time[1]	*[1]	amod	basic	1-7	
1-7	28-35	jūnijam	ncmsd1	jūnijs	time[1]	*[1]	obl	basic	1-8	
1-8	36-42	paziņo	vmnipt230an	paziņot	_	_	root	basic	1-8	
1-9	43-52	Tieslietu	ncfdg4	tieslietas	organization[2]	https://lv.wikipedia.org/wiki/Latvijas\_Republikas\_Tieslietu\_ministrija[2]	nmod	basic	1-10	
1-10	53-64	ministrijai	ncfsd4	ministrija	organization[2]	https://lv.wikipedia.org/wiki/Latvijas\_Republikas\_Tieslietu\_ministrija[2]	iobj	basic	1-8	
1-11	65-67	šā	pd0msgn	šis	_	_	det	basic	1-12	
1-12	68-74	likuma	ncmsg1	likums	_	_	nmod	basic	1-14	
1-13	75-78	14.	xo	14.	_	_	amod	basic	1-14	
1-14	78-83	panta	ncmsg1	pants	_	_	nmod	basic	1-16	
1-15	84-91	pirmajā	mosfsl	pirmā	_	_	amod	basic	1-16	
1-16	92-96	daļā	ncfsl4	daļa	_	_	obl	basic	1-17	
1-17	97-104	minētos	vmnpdmpapsyp	minēt	_	_	amod	basic	1-18	
1-18	105-110	datus	ncmda1	dati	_	_	obj	basic	1-8	
1-19	110-111	.	zs	.	_	_	punct	basic	1-8	
