#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Kalvenes pamatskolā apliecina, ka savāktā makulatūra nesen aizvesta, nu skolēni sākuši gaidīt apsolīto zīmēšanas papīru.
1-1	0-8	Kalvenes	npfsg5	*	Kalvene	organization[1]|GPE[2]	*[1]|https://lv.wikipedia.org/wiki/Kalvene[2]	_	_	nmod	basic	1-2	
1-2	9-19	pamatskolā	ncfsl4	*	pamatskola	organization[1]	*[1]	_	_	obl	basic	1-3	
1-3	20-29	apliecina	vmnipt330an	*	apliecināt	_	_	_	_	root	basic	1-3	
1-4	29-30	,	zc	*	,	_	_	_	_	punct	basic	1-9	
1-5	31-33	ka	cs	*	ka	_	_	_	_	mark	basic	1-9	
1-6	34-41	savāktā	vmnpdfsnpsyp	*	savākt	_	_	_	_	amod	basic	1-7	
1-7	42-52	makulatūra	ncfsn4	*	makulatūra	_	_	_	_	nsubj:pass	basic	1-9	
1-8	53-58	nesen	r0t	*	nesen	_	_	_	_	advmod	basic	1-9	
1-9	59-67	aizvesta	vmnpdfsnpsnp	*	aizvest	_	_	_	_	ccomp	basic	1-3	
1-10	67-68	,	zc	*	,	_	_	_	_	punct	basic	1-13	
1-11	69-71	nu	r0t	*	nu	_	_	_	_	advmod	basic	1-13	
1-12	72-79	skolēni	ncmpn1	*	skolēns	_	_	_	_	nsubj	basic	1-13	
1-13	80-86	sākuši	vpnpdmpnasnp	*	sākt	_	_	_	_	conj	basic	1-9	
1-14	87-93	gaidīt	vmnn0t3000n	*	gaidīt	_	_	_	_	xcomp	basic	1-13	
1-15	94-102	apsolīto	vmnpdmsapsyp	*	apsolīt	_	_	_	_	amod	basic	1-17	
1-16	103-112	zīmēšanas	ncfsg4	*	zīmēšana	_	_	_	_	nmod	basic	1-17	
1-17	113-119	papīru	ncmsa1	*	papīrs	_	_	_	_	obj	basic	1-14	
1-18	119-120	.	zs	*	.	_	_	_	_	punct	basic	1-3	

#Text=Kronvalda Ata Krotes pamatskolas audzēkņi kopīgiem spēkiem savākuši 3700 kilogramus makulatūras.
2-1	122-131	Kronvalda	npmsg1	*	Kronvalds	organization[3]|person[4]	*[3]|https://en.wikipedia.org/wiki/Atis\_Kronvalds[4]	_	_	nmod	basic	2-4	
2-2	132-135	Ata	npmsg2	*	Atis	organization[3]|person[4]	*[3]|https://en.wikipedia.org/wiki/Atis\_Kronvalds[4]	_	_	flat:name	basic	2-1	
2-3	136-142	Krotes	npfsg5	*	Krote	organization[3]|GPE[5]	*[3]|https://lv.wikipedia.org/wiki/Krote[5]	_	_	nmod	basic	2-4	
2-4	143-154	pamatskolas	ncfsg4	*	pamatskola	organization[3]	*[3]	_	_	nmod	basic	2-5	
2-5	155-163	audzēkņi	ncmpn2	*	audzēknis	_	_	_	_	iobj	basic	2-8	
2-6	164-172	kopīgiem	armpdnp	*	kopīgs	_	_	_	_	amod	basic	2-7	
2-7	173-180	spēkiem	ncmpd1	*	spēks	_	_	_	_	iobj	basic	2-8	
2-8	181-189	savākuši	vmnpdmpnasnp	*	savākt	_	_	_	_	root	basic	2-8	
2-9	190-194	3700	xn	*	3700	_	_	_	_	nummod	basic	2-10	
2-10	195-205	kilogramus	ncmpa1	*	kilograms	_	_	_	_	obj	basic	2-8	
2-11	206-217	makulatūras	ncfsg4	*	makulatūra	_	_	_	_	nmod	basic	2-10	
2-12	217-218	.	zs	*	.	_	_	_	_	punct	basic	2-8	

#Text=Daļa papīra jau nogādāta pārstrādātājiem, pastāsta direktora vietniece audzināšanas darbā Indra Zvirbule.
3-1	220-224	Daļa	ncfsn4	*	daļa	_	_	_	_	nsubj:pass	basic	3-4	
3-2	225-231	papīra	ncmsg1	*	papīrs	_	_	_	_	nmod	basic	3-1	
3-3	232-235	jau	r0t	*	jau	_	_	_	_	advmod	basic	3-4	
3-4	236-244	nogādāta	vmnpdfsnpsnp	*	nogādāt	_	_	_	_	ccomp	basic	3-7	
3-5	245-260	pārstrādātājiem	ncmpd1	*	pārstrādātājs	_	_	_	_	iobj	basic	3-4	
3-6	260-261	,	zc	*	,	_	_	_	_	punct	basic	3-4	
3-7	262-270	pastāsta	vmnipt330an	*	pastāstīt	_	_	_	_	root	basic	3-7	
3-8	271-280	direktora	ncmsg1	*	direktors	_	_	*->1-1	*[1]	nmod	basic	3-9	
3-9	281-290	vietniece	ncfsn5	*	vietniece	_	_	*->1-1	*[1]	nmod	basic	3-12	
3-10	291-303	audzināšanas	ncfsg4	*	audzināšana	_	_	*->1-1	*[1]	nmod	basic	3-11	
3-11	304-309	darbā	ncmsl1	*	darbs	_	_	*->1-1	*[1]	acl	basic	3-9	
3-12	310-315	Indra	npfsn4	*	Indra	person[6]	*[6]	*->1-2	*[1]	nsubj	basic	3-7	
3-13	316-324	Zvirbule	npfsn5	*	Zvirbule	person[6]	*[6]	*->1-2	*[1]	flat:name	basic	3-12	
3-14	324-325	.	zs	*	.	_	_	_	_	punct	basic	3-7	
