#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Literāts Arvīds Grigulis, stāstot par karu, reiz rakstīja, ka savu lodi nedzird.
1-1	0-8	Literāts	ncmsn1	*	literāts	_	_	*->1-1	*[1]	nmod	basic	1-2	
1-2	9-15	Arvīds	npmsn1	*	Arvīds	person[1]	https://lv.wikipedia.org/wiki/Arvīds\_Grigulis[1]	*->1-2	*[1]	nsubj	basic	1-10	
1-3	16-24	Grigulis	npmsn2	*	Grigulis	person[1]	https://lv.wikipedia.org/wiki/Arvīds\_Grigulis[1]	*->1-2	*[1]	flat:name	basic	1-2	
1-4	24-25	,	zc	*	,	_	_	_	_	punct	basic	1-5	
1-5	26-33	stāstot	vmnpu0000000	*	stāstīt	_	_	_	_	advcl	basic	1-10	
1-6	34-37	par	spsa	*	par	_	_	_	_	case	basic	1-7	
1-7	38-42	karu	ncmsa1	*	karš	_	_	_	_	iobj	basic	1-5	
1-8	42-43	,	zc	*	,	_	_	_	_	punct	basic	1-5	
1-9	44-48	reiz	r0t	*	reiz	_	_	_	_	advmod	basic	1-10	
1-10	49-57	rakstīja	vmnist330an	*	rakstīt	_	_	_	_	root	basic	1-10	
1-11	57-58	,	zc	*	,	_	_	_	_	punct	basic	1-15	
1-12	59-61	ka	cs	*	ka	_	_	_	_	mark	basic	1-15	
1-13	62-66	savu	ps0fsan	*	sava	_	_	*->1-3	*[1]	det	basic	1-14	
1-14	67-71	lodi	ncfsa5	*	lode	_	_	_	_	obj	basic	1-15	
1-15	72-79	nedzird	vmnipt330ay	*	nedzirdēt	_	_	_	_	ccomp	basic	1-10	
1-16	79-80	.	zs	*	.	_	_	_	_	punct	basic	1-10	

#Text=Sēžot kādā nopietnā sanāksmē iestīvinātā pletkreklā un nepārprotami sajūtot, ka pa zeķi kāds pārvietojas un ka pēc tam ieniezas kāja, esiet gatavi un atcerieties – savu blusu nedzird.
2-1	82-87	Sēžot	vmnpu0000000	*	sēdēt	_	_	_	_	advcl	basic	2-24	
2-2	88-92	kādā	pi0msln	*	kāds	_	_	_	_	det	basic	2-4	
2-3	93-101	nopietnā	affslnp	*	nopietna	_	_	_	_	amod	basic	2-4	
2-4	102-110	sanāksmē	ncfsl5	*	sanāksme	_	_	_	_	obl	basic	2-1	
2-5	111-122	iestīvinātā	vmnpdmslpsnp	*	iestīvināt	_	_	_	_	amod	basic	2-6	
2-6	123-133	pletkreklā	ncmsl1	*	pletkrekls	_	_	_	_	obl	basic	2-1	
2-7	134-136	un	cc	*	un	_	_	_	_	cc	basic	2-9	
2-8	137-149	nepārprotami	rpm	*	nepārprotami	_	_	_	_	advmod	basic	2-9	
2-9	150-157	sajūtot	vmnpu0000000	*	sajust	_	_	_	_	conj	basic	2-1	
2-10	157-158	,	zc	*	,	_	_	_	_	punct	basic	2-15	
2-11	159-161	ka	cs	*	ka	_	_	_	_	mark	basic	2-15	
2-12	162-164	pa	spsa	*	pa	_	_	_	_	case	basic	2-13	
2-13	165-169	zeķi	ncfsa5	*	zeķe	_	_	_	_	obl	basic	2-15	
2-14	170-174	kāds	pi0msnn	*	kāds	_	_	_	_	nsubj	basic	2-15	
2-15	175-186	pārvietojas	vmyipi230an	*	pārvietoties	_	_	_	_	ccomp	basic	2-9	
2-16	187-189	un	cc	*	un	_	_	_	_	cc	basic	2-20	
2-17	190-192	ka	cs	*	ka	_	_	_	_	mark	basic	2-20	
2-18	193-196	pēc	spsd	*	pēc	_	_	_	_	case	basic	2-19	
2-19	197-200	tam	pd0msdn	*	tas	_	_	_	_	obl	basic	2-20	
2-20	201-209	ieniezas	vmyipi330an	*	ieniezēties	_	_	_	_	conj	basic	2-15	
2-21	210-214	kāja	ncfsn4	*	kāja	_	_	_	_	nsubj	basic	2-20	
2-22	214-215	,	zc	*	,	_	_	_	_	punct	basic	2-20	
2-23	216-221	esiet	vcnm0ii2pan	*	būt	_	_	_	_	cop	basic	2-24	
2-24	222-228	gatavi	afmpnnp	*	gatavs	_	_	_	_	root	basic	2-24	
2-25	229-231	un	cc	*	un	_	_	_	_	cc	basic	2-26	
2-26	232-243	atcerieties	vmym0t32pan	*	atcerēties	_	_	_	_	conj	basic	2-24	
2-27	244-245	–	zd	*	–	_	_	_	_	punct	basic	2-30	
2-28	246-250	savu	ps0fsan	*	sava	_	_	_	_	det	basic	2-29	
2-29	251-256	blusu	ncfsa4	*	blusa	_	_	_	_	obj	basic	2-30	
2-30	257-264	nedzird	vmnipt330ay	*	nedzirdēt	_	_	_	_	ccomp	basic	2-26	
2-31	264-265	.	zs	*	.	_	_	_	_	punct	basic	2-24	
