#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=ECC vakar paziņoja par savu gatavību pārtraukt aļģu izplatību veicinošo notekūdeņu izmešanu Baltijas jūrā ar noteikumu, ja ostas pieņems tos bez maksas.
1-1	0-3	ECC	yp	ECC	organization	*	_	_	nsubj	basic	1-3	
1-2	4-9	vakar	r0t	vakar	_	_	_	_	advmod	basic	1-3	
1-3	10-18	paziņoja	vmnist230an	paziņot	_	_	_	_	root	basic	1-3	
1-4	19-22	par	spsa	par	_	_	_	_	case	basic	1-6	
1-5	23-27	savu	ps0fsan	sava	_	_	_	_	det	basic	1-6	
1-6	28-36	gatavību	ncfsa4	gatavība	_	_	_	_	iobj	basic	1-3	
1-7	37-46	pārtraukt	vmnn0t1000n	pārtraukt	_	_	_	_	acl	basic	1-6	
1-8	47-51	aļģu	ncfpg5	aļģe	_	_	_	_	nmod	basic	1-9	
1-9	52-61	izplatību	ncfsa4	izplatība	_	_	_	_	obj	basic	1-10	
1-10	62-71	veicinošo	vmnpdmpgapyp	veicināt	_	_	_	_	amod	basic	1-11	
1-11	72-82	notekūdeņu	ncmpg2	notekūdens	_	_	*[1]	*->1-1	nmod	basic	1-12	
1-12	83-91	izmešanu	ncfsa4	izmešana	_	_	_	_	obj	basic	1-7	
1-13	92-100	Baltijas	npfsg4	baltija	location[1]	https://en.wikipedia.org/wiki/Baltic\_Sea[1]	_	_	nmod	basic	1-14	
1-14	101-105	jūrā	ncfsl4	jūra	location[1]	https://en.wikipedia.org/wiki/Baltic\_Sea[1]	_	_	acl	basic	1-12	
1-15	106-108	ar	spsa	ar	_	_	_	_	case	basic	1-16	
1-16	109-118	noteikumu	ncmsa1	noteikums	_	_	_	_	obl	basic	1-7	
1-17	118-119	,	zc	,	_	_	_	_	punct	basic	1-20	
1-18	120-122	ja	cs	ja	_	_	_	_	mark	basic	1-20	
1-19	123-128	ostas	ncfpn4	osta	_	_	_	_	nsubj	basic	1-20	
1-20	129-136	pieņems	vmnift130an	pieņemt	_	_	_	_	advcl	basic	1-16	
1-21	137-140	tos	pd0mpan	tas	_	_	*[1]	*->1-2	obj	basic	1-20	
1-22	141-144	bez	spsg	bez	_	_	_	_	case	basic	1-23	
1-23	145-151	maksas	ncfsg4	maksa	_	_	_	_	obl	basic	1-20	
1-24	151-152	.	zs	.	_	_	_	_	punct	basic	1-3	
