#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Putins, kurš neatbalsta Rietumu aicinājumus noteikt Irānai jaunas ANO sankcijas, nākamnedēļ dodas uz Teherānu, kur viņš tiksies ar Irānas prezidentu Mahmudu Ahmadinedžadu.
1-1	0-6	Putins	npmsn1	*	Putins	person	https://en.wikipedia.org/wiki/Vladimir\_Putin	*->1-1	*[1]	nsubj	basic	1-14	
1-2	6-7	,	zc	*	,	_	_	_	_	punct	basic	1-4	
1-3	8-12	kurš	pr0msnn	*	kurš	_	_	*->1-2	*[1]	nsubj	basic	1-4	
1-4	13-23	neatbalsta	vmnipt330ay	*	neatbalstīt	_	_	_	_	acl	basic	1-1	
1-5	24-31	Rietumu	npmdg1	*	Rietumi	_	_	_	_	nmod	basic	1-6	
1-6	32-43	aicinājumus	ncmpa1	*	aicinājums	_	_	_	_	obj	basic	1-4	
1-7	44-51	noteikt	vmnn0t1000n	*	noteikt	_	_	_	_	acl	basic	1-6	
1-8	52-58	Irānai	npfsd4	*	Irāna	GPE	https://en.wikipedia.org/wiki/Iran	_	_	iobj	basic	1-7	
1-9	59-65	jaunas	affsgnp	*	jauna	_	_	_	_	amod	basic	1-11	
1-10	66-69	ANO	yp	*	ANO	organization	https://en.wikipedia.org/wiki/United\_Nations	_	_	nmod	basic	1-11	
1-11	70-79	sankcijas	ncfsg4	*	sankcija	_	_	_	_	nmod	basic	1-7	
1-12	79-80	,	zc	*	,	_	_	_	_	punct	basic	1-4	
1-13	81-91	nākamnedēļ	r0t	*	nākamnedēļ	_	_	_	_	advmod	basic	1-14	
1-14	92-97	dodas	vmyipti30an	*	doties	_	_	_	_	root	basic	1-14	
1-15	98-100	uz	spsa	*	uz	_	_	*->3-1	*[3]	case	basic	1-16	
1-16	101-109	Teherānu	npfsa4	*	Teherāna	GPE	https://en.wikipedia.org/wiki/Tehran	*->3-1	*[3]	obl	basic	1-14	
1-17	109-110	,	zc	*	,	_	_	_	_	punct	basic	1-20	
1-18	111-114	kur	r0p	*	kur	_	_	*->3-2	*[3]	advmod	basic	1-20	
1-19	115-119	viņš	pp3msnn	*	viņš	_	_	*->1-3	*[1]	nsubj	basic	1-20	
1-20	120-127	tiksies	vmyifi130an	*	tikties	_	_	_	_	advcl	basic	1-14	
1-21	128-130	ar	spsa	*	ar	_	_	_	_	case	basic	1-24	
1-22	131-137	Irānas	npfsg4	*	Irāna	GPE	https://en.wikipedia.org/wiki/Iran	_	_	nmod	basic	1-23	
1-23	138-148	prezidentu	ncmsa1	*	prezidents	_	_	*->2-1	*[2]	nmod	basic	1-24	
1-24	149-156	Mahmudu	npmsa1	*	Mahmuds	person[1]	https://en.wikipedia.org/wiki/Mahmoud\_Ahmadinejad[1]	*->2-2	*[2]	iobj	basic	1-20	
1-25	157-170	Ahmadinedžadu	npmsa1	*	Ahmadinedžads	person[1]	https://en.wikipedia.org/wiki/Mahmoud\_Ahmadinejad[1]	*->2-2	*[2]	flat:name	basic	1-24	
1-26	170-171	.	zs	*	.	_	_	_	_	punct	basic	1-14	
