#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Topolaneks piektdienas vakarā Kijevā tikās ar Ukrainas premjerministri Jūliju Timošenko un prezidentu Viktoru Juščenko, lai meklētu risinājumu Krievijas un Ukrainas gāzes konfliktam, kas apturējis gāzes piegādes Eiropai.
1-1	0-10	Topolaneks	npmsn1	*	Topolaneks	person	https://en.wikipedia.org/wiki/Mirek\_Topolánek	_	_	nsubj	basic	1-5	
1-2	11-22	piektdienas	ncfsg4	*	piektdiena	time[1]	*[1]	_	_	nmod	basic	1-3	
1-3	23-29	vakarā	ncmsl1	*	vakars	time[1]	*[1]	_	_	obl	basic	1-5	
1-4	30-36	Kijevā	npfsl4	*	Kijeva	GPE	https://en.wikipedia.org/wiki/Kiev	_	_	obl	basic	1-5	
1-5	37-42	tikās	vmyisi130an	*	tikties	_	_	_	_	root	basic	1-5	
1-6	43-45	ar	spsa	*	ar	_	_	_	_	case	basic	1-9	
1-7	46-54	Ukrainas	npfsg4	*	Ukraina	GPE	https://en.wikipedia.org/wiki/Ukraine	*->3-1	*[3]	nmod	basic	1-8	
1-8	55-70	premjerministri	ncmpn1	*	premjerministrs	_	_	*->3-1	*[3]	nmod	basic	1-9	
1-9	71-77	Jūliju	ncmsa1	*	jūlijs	person[2]	https://en.wikipedia.org/wiki/Yulia\_Tymoshenko[2]	*->3-2	*[3]	iobj	basic	1-5	
1-10	78-87	Timošenko	np0000	*	Timošenko	person[2]	https://en.wikipedia.org/wiki/Yulia\_Tymoshenko[2]	*->3-2	*[3]	flat:name	basic	1-9	
1-11	88-90	un	cc	*	un	_	_	_	_	cc	basic	1-13	
1-12	91-101	prezidentu	ncmpg1	*	prezidents	_	_	*->1-1	*[1]	nmod	basic	1-13	
1-13	102-109	Viktoru	npmsa1	*	Viktors	person[3]	https://en.wikipedia.org/wiki/Viktor\_Yushchenko[3]	*->1-2	*[1]	conj	basic	1-9	
1-14	110-118	Juščenko	np0000	*	Juščenko	person[3]	https://en.wikipedia.org/wiki/Viktor\_Yushchenko[3]	*->1-2	*[1]	flat:name	basic	1-13	
1-15	118-119	,	zc	*	,	_	_	_	_	punct	basic	1-17	
1-16	120-123	lai	cs	*	lai	_	_	_	_	mark	basic	1-17	
1-17	124-131	meklētu	vmnc0t200an	*	meklēt	_	_	_	_	advcl	basic	1-5	
1-18	132-142	risinājumu	ncmpg1	*	risinājums	_	_	_	_	iobj	basic	1-17	
1-19	143-152	Krievijas	npfsg4	*	Krievija	GPE	https://en.wikipedia.org/wiki/Russia	_	_	nmod	basic	1-23	
1-20	153-155	un	cc	*	un	_	_	_	_	cc	basic	1-21	
1-21	156-164	Ukrainas	npfsg4	*	Ukraina	GPE	https://en.wikipedia.org/wiki/Ukraine	_	_	conj	basic	1-19	
1-22	165-170	gāzes	ncfsg5	*	gāze	_	_	_	_	nmod	basic	1-23	
1-23	171-181	konfliktam	ncmsd1	*	konflikts	_	_	*->2-1	*[2]	nmod	basic	1-18	
1-24	181-182	,	zc	*	,	_	_	_	_	punct	basic	1-26	
1-25	183-186	kas	pr000nn	*	kas	_	_	*->2-2	*[2]	nsubj	basic	1-26	
1-26	187-196	apturējis	vmnpdmsnasnp	*	apturēt	_	_	_	_	acl	basic	1-23	
1-27	197-202	gāzes	ncfsg5	*	gāze	_	_	_	_	nmod	basic	1-28	
1-28	203-211	piegādes	ncfpa5	*	piegāde	_	_	_	_	nmod	basic	1-26	
1-29	212-219	Eiropai	npfsd4	*	Eiropa	location	https://en.wikipedia.org/wiki/Europe	_	_	iobj	basic	1-28	
1-30	219-220	.	zs	*	.	_	_	_	_	punct	basic	1-5	
