#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Godmanis šodien personīgi iepazinās ar situāciju Terehovā.
1-1	0-8	Godmanis	npmsn2	Godmanis	person	https://en.wikipedia.org/wiki/Ivars\_Godmanis	*[1]	*->1-1	nsubj	basic	1-4	
1-2	9-15	šodien	r0t	šodien	_	_	_	_	advmod	basic	1-4	
1-3	16-25	personīgi	rpm	personīgi	_	_	_	_	advmod	basic	1-4	
1-4	26-35	iepazinās	vmyisi130an	iepazīties	_	_	_	_	root	basic	1-4	
1-5	36-38	ar	spsa	ar	_	_	_	_	case	basic	1-6	
1-6	39-48	situāciju	ncfsa4	situācija	_	_	_	_	iobj	basic	1-4	
1-7	49-57	Terehovā	npfsl4	Terehova	GPE	https://lv.wikipedia.org/wiki/Terehova\_(Zaļesjes\_pagasts)	_	_	acl	basic	1-6	
1-8	57-58	.	zs	.	_	_	_	_	punct	basic	1-4	

#Text=Ministrs tikās ar reģionālajām policijas un muitas amatpersonām, kā arī aprunājās ar tālbraucējiem.
2-1	60-68	Ministrs	ncmsn1	ministrs	_	_	*[1]	*->1-2	nsubj	basic	2-2	
2-2	69-74	tikās	vmyisi130an	tikties	_	_	_	_	root	basic	2-2	
2-3	75-77	ar	sppd	ar	_	_	_	_	case	basic	2-8	
2-4	78-90	reģionālajām	arfpdyp	reģionāla	_	_	_	_	amod	basic	2-8	
2-5	91-100	policijas	ncfsg4	policija	_	_	_	_	nmod	basic	2-8	
2-6	101-103	un	cc	un	_	_	_	_	cc	basic	2-7	
2-7	104-110	muitas	ncfsg4	muita	_	_	_	_	conj	basic	2-5	
2-8	111-123	amatpersonām	ncfpd4	amatpersona	_	_	_	_	iobj	basic	2-2	
2-9	123-124	,	zc	,	_	_	_	_	punct	basic	2-12	
2-10	125-127	kā	cs	kā	_	_	_	_	cc	basic	2-12	
2-11	128-131	arī	q	arī	_	_	_	_	discourse	basic	2-10	
2-12	132-141	aprunājās	vmyisi230an	aprunāties	_	_	_	_	conj	basic	2-2	
2-13	142-144	ar	sppd	ar	_	_	_	_	case	basic	2-14	
2-14	145-158	tālbraucējiem	ncmpd1	tālbraucējs	_	_	_	_	iobj	basic	2-12	
2-15	158-159	.	zs	.	_	_	_	_	punct	basic	2-2	
