#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Kleopatra gāja ēzeļmāšu piena vannā.
1-1	0-9	Kleopatra	npfsn4	Kleopatra	person	https://en.wikipedia.org/wiki/Cleopatra	nsubj	basic	1-2	
1-2	10-14	gāja	vmnisii30an	iet	_	_	root	basic	1-2	
1-3	15-23	ēzeļmāšu	ncfpg5	ēzeļmāte	_	_	nmod	basic	1-4	
1-4	24-29	piena	ncmvg1	piens	_	_	nmod	basic	1-5	
1-5	30-35	vannā	ncfsl4	vanna	_	_	obl	basic	1-2	
1-6	35-36	.	zs	.	_	_	punct	basic	1-2	

#Text=Uiguru skaistules ticēja, ka, ietinoties svaigi nodīrāta lāča ādā, var saglabāt meitenīgu sejas krāsu līdz pat vecumam.
2-1	38-44	Uiguru	ncmpg1	uigurs	_	_	nmod	basic	2-2	
2-2	45-55	skaistules	ncfpn5	skaistule	_	_	nsubj	basic	2-3	
2-3	56-62	ticēja	vmnist330an	ticēt	_	_	root	basic	2-3	
2-4	62-63	,	zc	,	_	_	punct	basic	2-14	
2-5	64-66	ka	cs	ka	_	_	mark	basic	2-14	
2-6	66-67	,	zc	,	_	_	punct	basic	2-7	
2-7	68-78	ietinoties	vmypu0000000	ietīties	_	_	advcl	basic	2-14	
2-8	79-85	svaigi	rpm	svaigi	_	_	advmod	basic	2-9	
2-9	86-94	nodīrāta	vmnpdmsgpsnp	nodīrāt	_	_	amod	basic	2-10	
2-10	95-99	lāča	ncmsg2	lācis	_	_	nmod	basic	2-11	
2-11	100-103	ādā	ncfsl4	āda	_	_	obl	basic	2-7	
2-12	103-104	,	zc	,	_	_	punct	basic	2-7	
2-13	105-108	var	vonipt330an	varēt	_	_	xcomp	basic	2-14	
2-14	109-117	saglabāt	vmnn0t2000n	saglabāt	_	_	ccomp	basic	2-3	
2-15	118-127	meitenīgu	affsanp	meitenīga	_	_	amod	basic	2-17	
2-16	128-133	sejas	ncfsg4	seja	_	_	nmod	basic	2-17	
2-17	134-139	krāsu	ncfsa4	krāsa	_	_	obj	basic	2-14	
2-18	140-144	līdz	spsd	līdz	_	_	case	basic	2-20	
2-19	145-148	pat	q	pat	_	_	discourse	basic	2-20	
2-20	149-156	vecumam	ncmsd1	vecums	_	_	obl	basic	2-14	
2-21	156-157	.	zs	.	_	_	punct	basic	2-3	

#Text=Mūsu vecmāmiņas tika vaļā no vasaras raibumiem ar pētersīļu sulu, mīkstināja cietos elkoņus ar sālīta speķa ādu, bet ar grumbām cīnījās, smērējot uz sejas iejavu.
3-1	159-163	Mūsu	pp10pgn	mēs	_	_	det	basic	3-2	
3-2	164-174	vecmāmiņas	ncfsg4	vecmāmiņa	_	_	nsubj	basic	3-3	
3-3	175-179	tika	vtnisi130an	tikt	_	_	root	basic	3-3	
3-4	180-184	vaļā	r0m	vaļā	_	_	advmod	basic	3-3	
3-5	185-187	no	spsg	no	_	_	case	basic	3-7	
3-6	188-195	vasaras	ncfsg4	vasara	_	_	nmod	basic	3-7	
3-7	196-205	raibumiem	ncmpd1	raibums	_	_	acl	basic	3-3	
3-8	206-208	ar	spsa	ar	_	_	case	basic	3-10	
3-9	209-218	pētersīļu	ncmpg2	pētersīlis	_	_	nmod	basic	3-10	
3-10	219-223	sulu	ncfsa4	sula	_	_	iobj	basic	3-3	
3-11	223-224	,	zc	,	_	_	dep	basic	3-3	
3-12	225-235	mīkstināja	vmnist330an	mīkstināt	_	_	dep	basic	3-11	
3-13	236-242	cietos	afmpayp	ciets	_	_	amod	basic	3-14	
3-14	243-250	elkoņus	ncmpa2	elkonis	_	_	obj	basic	3-12	
3-15	251-253	ar	spsa	ar	_	_	case	basic	3-18	
3-16	254-260	sālīta	a\_msgnp	sālīts	_	_	amod	basic	3-18	
3-17	261-266	speķa	ncmsg2	speķis	_	_	nmod	basic	3-18	
3-18	267-270	ādu	ncfsa4	āda	_	_	iobj	basic	3-12	
3-19	270-271	,	zc	,	_	_	dep	basic	3-11	
3-20	272-275	bet	ccs	bet	_	_	dep	basic	3-11	
3-21	276-278	ar	sppd	ar	_	_	case	basic	3-22	
3-22	279-286	grumbām	ncfpd4	grumba	_	_	iobj	basic	3-23	
3-23	287-294	cīnījās	vmyisi330an	cīnīties	_	_	dep	basic	3-11	
3-24	294-295	,	zc	,	_	_	dep	basic	3-11	
3-25	296-304	smērējot	vmnpu0000000	smērēt	_	_	dep	basic	3-11	
3-26	305-307	uz	spsa	uz	_	_	case	basic	3-28	
3-27	308-313	sejas	ncfsg4	seja	_	_	nmod	basic	3-28	
3-28	314-320	iejavu	ncmsa1	iejavs	_	_	acl	basic	3-25	
3-29	320-321	.	zs	.	_	_	punct	basic	3-3	
