#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=ZAAO darbības virziens ir atkritumu savākšana, šķirošana, uzglabāšana, apstrāde, pārkraušana, pārvadāšana, apglabāšana.
1-1	0-4	ZAAO	*	*	*	*	*	*	*	*	*	Abbr=Yes	*	*	yp	ZAAO	organization	*	nmod	basic	1-2	
1-2	5-13	darbības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	darbība	_	_	nmod	basic	1-3	
1-3	14-22	virziens	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	virziens	_	_	nsubj	basic	1-6	
1-4	23-25	ir	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30an	būt	_	_	cop	basic	1-6	
1-5	26-35	atkritumu	Masc	Ptan	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Ptan	*	*	ncmdg1	atkritumi	_	_	nmod	basic	1-6	
1-6	36-45	savākšana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	npfsn4	Savākšana	_	_	root	basic	1-6	
1-7	45-46	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-8	
1-8	47-56	šķirošana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	šķirošana	_	_	conj	basic	1-6	
1-9	56-57	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-10	
1-10	58-69	uzglabāšana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	uzglabāšana	_	_	conj	basic	1-6	
1-11	69-70	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-12	
1-12	71-79	apstrāde	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn5	apstrāde	_	_	conj	basic	1-6	
1-13	79-80	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-14	
1-14	81-92	pārkraušana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	pārkraušana	_	_	conj	basic	1-6	
1-15	92-93	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-16	
1-16	94-105	pārvadāšana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	pārvadāšana	_	_	conj	basic	1-6	
1-17	105-106	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-18	
1-18	107-118	apglabāšana	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	apglabāšana	_	_	conj	basic	1-6	
1-19	118-119	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	1-6	
