#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Lūdzam dalību pasākumā apstiprināt, rakstot: aija.freija@hkstrategies.com vai zvanot: 67240571 / 29717121
1-1	0-6	Lūdzam	*	Plur	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Number=Plur\|Person=1\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	1	*	vmnipt11pan	lūgt	root	basic	1-1	
1-2	7-13	dalību	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	dalība	obj	basic	1-1	
1-3	14-22	pasākumā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	pasākums	acl	basic	1-2	
1-4	23-34	apstiprināt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0\_3000n	apstiprināt	ccomp	basic	1-1	
1-5	34-35	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-6	
1-6	36-43	rakstot	*	*	*	*	*	*	*	*	*	VerbForm=Conv	*	*	vmnpu0000000	rakstīt	advcl	basic	1-1	
1-7	43-44	:	_	_	_	_	_	_	_	_	_	_	_	_	zo	:	punct	basic	1-8	
1-8	45-73	aija.freija@hkstrategies.com	_	_	_	_	_	_	_	_	_	_	_	_	xx	aija.freija@hkstrategies.com	acl	basic	1-6	
1-9	74-77	vai	_	_	_	_	_	_	_	_	_	_	_	_	cs	vai	cc	basic	1-10	
1-10	78-84	zvanot	*	*	*	*	*	*	*	*	*	VerbForm=Conv	*	*	vmnpu0000000	zvanīt	conj	basic	1-6	
1-11	84-85	:	_	_	_	_	_	_	_	_	_	_	_	_	zo	:	punct	basic	1-12	
1-12	86-94	67240571	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	67240571	acl	basic	1-10	
1-13	95-96	/	_	_	_	_	_	_	_	_	_	_	_	_	zx	/	punct	basic	1-14	
1-14	97-105	29717121	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	29717121	conj	basic	1-12	
