#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=papildināta -"Imprimatur Capital Seed Fund" investē 200 000 eiro jaunā 3D lāzeru mērierīču tehnoloģiju uzņēmumā
1-1	0-11	papildināta	Fem	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdfsnpsnp	papildināt	_	_	parataxis	basic	1-9	
1-2	12-13	-	_	_	_	_	_	_	_	_	_	_	_	_	zd	-	_	_	punct	basic	1-1	
1-3	13-14	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	organization[1]	*[1]	punct	basic	1-4	
1-4	14-24	Imprimatur	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Imprimatur	organization[1]	*[1]	nsubj	basic	1-9	
1-5	25-32	Capital	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Capital	organization[1]	*[1]	flat:name	basic	1-4	
1-6	33-37	Seed	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Seed	organization[1]	*[1]	flat:name	basic	1-4	
1-7	38-42	Fund	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Fund	organization[1]	*[1]	flat:name	basic	1-4	
1-8	42-43	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	organization[1]	*[1]	punct	basic	1-4	
1-9	44-51	investē	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt230an	investēt	_	_	root	basic	1-9	
1-10	52-59	200 000	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	200 000	_	_	nummod	basic	1-11	
1-11	60-64	eiro	_	_	_	_	_	_	_	_	_	_	_	_	nc0000	eiro	_	_	iobj	basic	1-9	
1-12	65-70	jaunā	Masc	Sing	Loc	Pos	*	*	*	*	*	Case=Loc\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	afmslnp	jauns	_	_	amod	basic	1-18	
1-13	71-72	3	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	3	_	_	nmod	basic	1-15	
1-14	72-73	D	_	_	_	_	_	_	_	_	_	_	_	_	xx	D	_	_	flat:name	basic	1-13	
1-15	74-80	lāzeru	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	lāzers	_	_	nmod	basic	1-16	
1-16	81-90	mērierīču	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg5	mērierīce	_	_	nmod	basic	1-17	
1-17	91-102	tehnoloģiju	Fem	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Plur	*	*	ncfpg4	tehnoloģija	_	_	nmod	basic	1-18	
1-18	103-111	uzņēmumā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	uzņēmums	_	_	obl	basic	1-9	
