#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Uzmanīgi tuvojamies dambim, apejot bebru izraktās alas grāvja malā.
1-1	0-8	Uzmanīgi	rpm	*	uzmanīgi	advmod	basic	1-2	
1-2	9-19	tuvojamies	vmyisi22pan	*	tuvoties	root	basic	1-2	
1-3	20-26	dambim	ncmsd2	*	dambis	iobj	basic	1-2	
1-4	26-27	,	zc	*	,	punct	basic	1-5	
1-5	28-34	apejot	vmnpu0000000	*	apiet	advcl	basic	1-2	
1-6	35-40	bebru	ncmsa1	*	bebrs	nmod	basic	1-7	
1-7	41-49	izraktās	vmnpdfpapsyp	*	izrakt	amod	basic	1-8	
1-8	50-54	alas	ncfpa4	*	ala	obj	basic	1-5	
1-9	55-61	grāvja	ncmsg2	*	grāvis	nmod	basic	1-10	
1-10	62-66	malā	ncfsl4	*	mala	acl	basic	1-8	
1-11	66-67	.	zs	*	.	punct	basic	1-2	
