#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Bet nu tā tas dzīvē nenotiek.
1-1	0-3	Bet	_	_	_	_	_	_	_	_	_	_	_	_	cc	bet	cc|cc	basic|enhanced	1-6|1-6	
1-2	4-6	nu	_	_	_	_	_	_	_	_	_	_	_	_	q	nu	discourse|discourse	basic|enhanced	1-1|1-1	
1-3	7-9	tā	*	*	*	*	*	*	*	*	*	PronType=Dem	*	*	r0m	tā	advmod|advmod	basic|enhanced	1-6|1-6	
1-4	10-13	tas	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing\|PronType=Dem	*	*	pd0msnn	tas	nsubj|nsubj	basic|enhanced	1-6|1-6	
1-5	14-19	dzīvē	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl5	dzīve	obl|obl	basic|enhanced	1-6|1-6	
1-6	20-28	nenotiek	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Neg\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipi130ay	nenotikt	root|root	basic|enhanced	1-6|1-6	
1-7	28-29	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	punct|punct	basic|enhanced	1-6|1-6	

#Text=Un tas ir pavisam cits žanrs...
2-1	31-33	Un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc|cc	basic|enhanced	2-6|2-6	
2-2	34-37	tas	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing\|PronType=Dem	*	*	pd0msnn	tas	nsubj|nsubj	basic|enhanced	2-6|2-6	
2-3	38-40	ir	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30an	būt	cop|cop	basic|enhanced	2-6|2-6	
