#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pētījuma secinājumi norāda uz nepieciešamību noteikt uzdevumus, kuru izpilde uzlabos situāciju kopumā, jo pētījuma raksturotā situācija ir jāvērtē kā draudīga no uzņēmumu ilgtermiņa pastāvēšanas viedokļa.
1-1	0-8	Pētījuma	ncmsg1	*	pētījums	_	_	nmod	basic	1-2	
1-2	9-19	secinājumi	ncmpn1	*	secinājums	_	_	nsubj	basic	1-3	
1-3	20-26	norāda	vmnipt330an	*	norādīt	_	_	root	basic	1-3	
1-4	27-29	uz	spsa	*	uz	_	_	case	basic	1-5	
1-5	30-44	nepieciešamību	ncfsa4	*	nepieciešamība	_	_	iobj	basic	1-3	
1-6	45-52	noteikt	vmnn0t1000n	*	noteikt	_	_	acl	basic	1-5	
1-7	53-62	uzdevumus	ncmpa1	*	uzdevums	*->1-1	*[1]	obj	basic	1-6	
1-8	62-63	,	zc	*	,	_	_	punct	basic	1-11	
1-9	64-68	kuru	pr0mpgn	*	kurš	*->1-2	*[1]	det	basic	1-10	
1-10	69-76	izpilde	ncfsn5	*	izpilde	_	_	nsubj	basic	1-11	
1-11	77-84	uzlabos	vmnift230an	*	uzlabot	_	_	acl	basic	1-7	
1-12	85-94	situāciju	ncfsa4	*	situācija	_	_	obj	basic	1-11	
1-13	95-101	kopumā	ncmsl1	*	kopums	_	_	obl	basic	1-11	
1-14	101-102	,	zc	*	,	_	_	punct	basic	1-20	
1-15	103-105	jo	cs	*	jo	_	_	mark	basic	1-20	
1-16	106-114	pētījuma	ncmsg1	*	pētījums	_	_	nmod	basic	1-17	
1-17	115-125	raksturotā	vmnpdfsnpsyp	*	raksturot	_	_	amod	basic	1-18	
1-18	126-135	situācija	ncfsn4	*	situācija	_	_	obj	basic	1-20	
1-19	136-138	ir	vcnipii30an	*	būt	_	_	aux	basic	1-20	
1-20	139-146	jāvērtē	vmnd0t200an	*	vērtēt	_	_	advcl	basic	1-3	
1-21	147-149	kā	cs	*	kā	_	_	mark	basic	1-22	
1-22	150-158	draudīga	affsnnp	*	draudīga	_	_	acl	basic	1-20	
1-23	159-161	no	spsg	*	no	_	_	case	basic	1-27	
1-24	162-170	uzņēmumu	ncmpg1	*	uzņēmums	_	_	nmod	basic	1-26	
1-25	171-181	ilgtermiņa	ncmsg1	*	ilgtermiņš	_	_	nmod	basic	1-26	
1-26	182-194	pastāvēšanas	ncfsg4	*	pastāvēšana	_	_	nmod	basic	1-27	
1-27	195-203	viedokļa	ncmsg2	*	viedoklis	_	_	obl	basic	1-20	
1-28	203-204	.	zs	*	.	_	_	punct	basic	1-3	

#Text=Autors uzskata, ka veicamie uzdevumi ir jāsadala divos līmeņos:
2-1	206-212	Autors	ncmsn1	*	autors	_	_	nsubj	basic	2-2	
2-2	213-220	uzskata	vmnipt330an	*	uzskatīt	_	_	root	basic	2-2	
2-3	220-221	,	zc	*	,	_	_	punct	basic	2-8	
2-4	222-224	ka	cs	*	ka	_	_	mark	basic	2-8	
2-5	225-233	veicamie	vmnpdmpnppyp	*	veikt	_	_	amod	basic	2-6	
2-6	234-242	uzdevumi	ncmpn1	*	uzdevums	_	_	obj	basic	2-8	
2-7	243-245	ir	vcnipii30an	*	būt	_	_	aux	basic	2-8	
2-8	246-254	jāsadala	vmnd0t300an	*	sadalīt	_	_	ccomp	basic	2-2	
2-9	255-260	divos	mcsmpl	*	divi	_	_	nummod	basic	2-10	
2-10	261-268	līmeņos	ncmpl2	*	līmenis	_	_	obl	basic	2-8	
2-11	268-269	:	zo	*	:	_	_	punct	basic	2-2	
