#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Otrajā dzīves gadā parādās pirmās pašapzināšanās pazīmes.
1-1	0-6	Otrajā	mosfsl	otrā	_	_	amod	basic	1-3	
1-2	7-13	dzīves	ncfsg5	dzīve	_	_	nmod	basic	1-3	
1-3	14-18	gadā	ncmsl1	gads	_	_	obl	basic	1-4	
1-4	19-26	parādās	vmyipi330an	parādīties	_	_	root	basic	1-4	
1-5	27-33	pirmās	mosfsg	pirmā	_	_	amod	basic	1-7	
1-6	34-48	pašapzināšanās	ncfsgr	pašapzināšanās	_	_	nmod	basic	1-7	
1-7	49-56	pazīmes	ncfpn5	pazīme	*[1]	*->1-1	nsubj	basic	1-4	
1-8	56-57	.	zs	.	_	_	punct	basic	1-4	

#Text=Tās izpaužas bērna spējā vadīt citu izturēšanos.
2-1	59-62	Tās	pd0fpnn	tā	*[1]	*->1-2	nsubj	basic	2-2	
2-2	63-71	izpaužas	vmyipt130an	izpausties	_	_	root	basic	2-2	
2-3	72-77	bērna	ncmsg1	bērns	*[2]	*->2-1	nmod	basic	2-4	
2-4	78-83	spējā	ncfsl4	spēja	_	_	obl	basic	2-2	
2-5	84-89	vadīt	vmnn0t3000n	vadīt	_	_	acl	basic	2-4	
2-6	90-94	citu	pi0fpgn	cita	_	_	det	basic	2-7	
2-7	95-106	izturēšanos	ncfsar	izturēšanās	_	_	obj	basic	2-5	
2-8	106-107	.	zs	.	_	_	punct	basic	2-2	

#Text=Viņš pats apraksta savas darbības, parāda īpašuma apzināšanos.
3-1	109-113	Viņš	pp3msnn	viņš	*[2]	*->2-2	nsubj	basic	3-3	
3-2	114-118	pats	pg0msnn	pats	*[2]	*->2-2	acl	basic	3-3	
3-3	119-127	apraksta	vmnipt330an	aprakstīt	_	_	root	basic	3-3	
3-4	128-133	savas	ps0fpan	sava	*[2]	*->2-3	det	basic	3-5	
3-5	134-142	darbības	ncfsg4	darbība	_	_	iobj	basic	3-3	
3-6	142-143	,	zc	,	_	_	punct	basic	3-7	
3-7	144-150	parāda	ncmsg1	parāds	_	_	conj	basic	3-3	
3-8	151-158	īpašuma	ncmsg1	īpašums	_	_	nmod	basic	3-9	
3-9	159-170	apzināšanos	ncfsar	apzināšanās	_	_	obj	basic	3-7	
3-10	170-171	.	zs	.	_	_	punct	basic	3-3	

#Text=Bērns ir spējīgs atpazīt pats sevi.
4-1	173-178	Bērns	ncmsn1	bērns	*[2]	*->2-4	nsubj	basic	4-3	
4-2	179-181	ir	vcnipii30an	būt	_	_	cop	basic	4-3	
4-3	182-189	spējīgs	afmsnnp	spējīgs	_	_	root	basic	4-3	
4-4	190-197	atpazīt	vmnn0t1000n	atpazīt	_	_	acl	basic	4-3	
4-5	198-202	pats	pg0msnn	pats	*[2]	*->2-5	acl	basic	4-4	
4-6	203-207	sevi	px000an	sevis	*[2]	*->2-5	obj	basic	4-4	
4-7	207-208	.	zs	.	_	_	punct	basic	4-3	

#Text=Vairākums divgadnieku spēj iedziļināties citu personu emocionālajā stāvoklī [40.].
5-1	210-219	Vairākums	ncmsn1	vairākums	_	_	nsubj	basic	5-3	
5-2	220-231	divgadnieku	ncmpg1	divgadnieks	_	_	obl	basic	5-1	
5-3	232-236	spēj	vonipt130an	spēt	_	_	root	basic	5-3	
5-4	237-250	iedziļināties	vmyn0i3000n	iedziļināties	_	_	xcomp	basic	5-3	
5-5	251-255	citu	pi0fpgn	cita	_	_	det	basic	5-6	
5-6	256-263	personu	ncfpg4	persona	_	_	nmod	basic	5-8	
5-7	264-276	emocionālajā	afmslyp	emocionāls	_	_	amod	basic	5-8	
5-8	277-285	stāvoklī	ncmsl2	stāvoklis	_	_	obl	basic	5-4	
5-9	286-287	[	zb	\[	_	_	punct	basic	5-10	
5-10	287-290	40.	xo	40.	_	_	parataxis	basic	5-3	
5-11	290-291	]	zb	\]	_	_	punct	basic	5-10	
5-12	291-292	.	zs	.	_	_	punct	basic	5-3	
