#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Aplūkojot salīdzinājumu pa atsevišķiem lauku rajoniem, redzam, ka pastāv zināma korelācija starp iedzīvotāju blīvumu rajonā un skolēnu skaita un pedagoģisko darbinieku skaita attiecību tajā.
1-1	0-9	Aplūkojot	*	*	*	*	*	*	*	*	*	VerbForm=Conv	*	*	vmnpu0000000n	aplūkot	_	_	advcl	basic	1-8	
1-2	10-23	salīdzinājumu	Masc	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Sing	*	*	ncmsa1	salīdzinājums	_	_	obj	basic	1-1	
1-3	24-26	pa	_	_	_	_	_	_	_	_	_	_	_	_	sppd	pa	_	_	case	basic	1-6	
1-4	27-38	atsevišķiem	Masc	Plur	Dat	Pos	*	*	*	*	*	Case=Dat\|Degree=Pos\|Gender=Masc\|Number=Plur	*	*	armpdnp	atsevišķs	_	_	amod	basic	1-6	
1-5	39-44	lauku	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	lauks	_	_	nmod	basic	1-6	
1-6	45-53	rajoniem	Masc	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Masc\|Number=Plur	*	*	ncmpd1	rajons	_	_	obl	basic	1-1	
1-7	53-54	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-1	
1-8	55-61	redzam	*	Plur	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Number=Plur\|Person=1\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	1	*	vmnipt31pan	redzēt	_	_	root	basic	1-8	
1-9	61-62	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-11	
1-10	63-65	ka	_	_	_	_	_	_	_	_	_	_	_	_	cs	ka	_	_	mark	basic	1-11	
1-11	66-72	pastāv	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt330an	pastāvēt	_	_	ccomp	basic	1-8	
1-12	73-79	zināma	Fem	Sing	Nom	Pos	*	Pres	*	Pass	*	Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Fem\|Number=Sing\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	*	vmnpdfsnppnpn	zināt	_	_	amod	basic	1-13	
1-13	80-90	korelācija	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	korelācija	_	_	nsubj	basic	1-11	
1-14	91-96	starp	_	_	_	_	_	_	_	_	_	_	_	_	spsa	starp	_	_	case	basic	1-16	
1-15	97-108	iedzīvotāju	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	iedzīvotājs	_	_	nmod	basic	1-16	
1-16	109-116	blīvumu	Masc	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Sing	*	*	ncmsa1	blīvums	_	_	obl	basic	1-11	
1-17	117-123	rajonā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	rajons	_	_	acl	basic	1-16	
1-18	124-126	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	_	_	cc	basic	1-25	
1-19	127-134	skolēnu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	skolēns	_	_	nmod	basic	1-20	
1-20	135-141	skaita	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	skaits	_	_	nmod	basic	1-25	
1-21	142-144	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	_	_	cc	basic	1-24	
1-22	145-156	pedagoģisko	Fem	Plur	Gen	Pos	*	*	*	*	*	Case=Gen\|Degree=Pos\|Gender=Fem\|Number=Plur	*	*	arfpgyp	pedagoģiska	_	_	amod	basic	1-23	
1-23	157-167	darbinieku	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg1	darbinieks	_	_	nmod	basic	1-24	
1-24	168-174	skaita	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	skaits	_	_	conj	basic	1-20	
1-25	175-184	attiecību	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	attiecība	_	_	conj	basic	1-16	
1-26	185-189	tajā	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing\|PronType=Dem	*	*	pd0fsln	tā	_	_	acl	basic	1-25	
1-27	189-190	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	1-8	

#Text=Kā redzams 2. attēlā, dispersijas koeficients šeit ir 0,4271.
2-1	192-194	Kā	*	*	*	*	*	*	*	*	*	PronType=Int	*	*	r0m	kā	_	_	advmod	basic	2-2	
2-2	195-202	redzams	Masc	Sing	Nom	Pos	*	Pres	*	Pass	*	Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Sing\|Tense=Pres\|VerbForm=Part\|Voice=Pass	*	*	vmnpdmsnppnpn	redzēt	_	_	parataxis	basic	2-10	
2-3	203-205	2.	*	*	*	*	*	*	*	*	*	NumType=Ord	*	*	xo	2.	*[2]	*->2-1	amod	basic	2-4	
2-4	206-212	attēlā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	attēls	*[2]	*->2-1	obl	basic	2-2	
2-5	212-213	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	2-2	
2-6	214-225	dispersijas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	dispersija	_	_	nmod	basic	2-7	
2-7	226-237	koeficients	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	koeficients	_	_	nsubj	basic	2-10	
2-8	238-242	šeit	*	*	*	*	*	*	*	*	*	PronType=Dem	*	*	r0p	šeit	*[2]	*->2-2	advmod	basic	2-10	
2-9	243-245	ir	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30an	būt	_	_	cop	basic	2-10	
2-10	246-252	0,4271	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	0,4271	_	_	root	basic	2-10	
2-11	252-253	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	2-10	

#Text=Šīs saistības pamatā ir nepieciešamība atvērt klases ar nelielu skolēnu skaitu vietās ar mazu iedzīvotāju, tātad arī ar mazu skolas vecuma bērnu blīvumu.
3-1	255-258	Šīs	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing\|PronType=Dem	*	*	pd0fsgn	šī	_	_	det	basic	3-2	
3-2	259-268	saistības	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	saistība	_	_	nmod	basic	3-3	
