#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Secinām, ka praksē pārsvarā tiek akcentēts rezultāts, nevis process.
1-1	0-7	Secinām	*	Plur	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Number=Plur\|Person=1\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	1	*	vmnipt31pan	secināt	root|root	basic|enhanced	1-1|1-1	
1-2	7-8	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct|punct	basic|enhanced	1-7|1-7	
1-3	9-11	ka	_	_	_	_	_	_	_	_	_	_	_	_	cs	ka	mark|mark	basic|enhanced	1-7|1-7	
1-4	12-18	praksē	Fem	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Fem\|Number=Sing	*	*	ncfsl5	prakse	obl|obl	basic|enhanced	1-7|1-7	
1-5	19-27	pārsvarā	Masc	Sing	Loc	*	*	*	*	*	*	Case=Loc\|Gender=Masc\|Number=Sing	*	*	ncmsl1	pārsvars	obl|obl	basic|enhanced	1-7|1-7	
1-6	28-32	tiek	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vtnipi130an	tikt	aux|aux	basic|enhanced	1-7|1-7	
1-7	33-42	akcentēts	Masc	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmsnpsnp	akcentēt	ccomp|ccomp	basic|enhanced	1-1|1-1	
1-8	43-52	rezultāts	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	rezultāts	nsubj|nsubj	basic|enhanced	1-7|1-7	
1-9	52-53	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct|punct	basic|enhanced	1-11|1-11	
1-10	54-59	nevis	_	_	_	_	_	_	_	_	_	_	_	_	cc	nevis	cc|cc	basic|enhanced	1-11|1-11	
1-11	60-67	process	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	process	conj|conj	basic|enhanced	1-8|1-8	
1-12	67-68	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	punct|punct	basic|enhanced	1-1|1-1	
