#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pēc 1214.g. ordenis tuvinājās Dānijai un saasināja attiecības ar savu bīskapu.
1-1	0-3	Pēc	spsg	pēc	time[1]	*[1]	_	_	case	basic	1-3	
1-2	4-9	1214.	xo	1214.	time[1]	*[1]	_	_	amod	basic	1-3	
1-3	9-11	g.	yn	g.	time[1]	*[1]	_	_	obl	basic	1-5	
1-4	12-19	ordenis	ncmsn2	ordenis	_	_	*[1]	*->1-1	nsubj	basic	1-5	
1-5	20-29	tuvinājās	vmyisi330an	tuvināties	_	_	_	_	root	basic	1-5	
1-6	30-37	Dānijai	npfsd4	Dānija	GPE	https://en.wikipedia.org/wiki/Denmark	_	_	iobj	basic	1-5	
1-7	38-40	un	cc	un	_	_	_	_	cc	basic	1-8	
1-8	41-50	saasināja	vmnist330an	saasināt	_	_	_	_	conj	basic	1-5	
1-9	51-61	attiecības	ncfpa4	attiecība	_	_	_	_	obj	basic	1-8	
1-10	62-64	ar	spsa	ar	_	_	_	_	case	basic	1-12	
1-11	65-69	savu	ps0msan	savs	_	_	*[1]	*->1-2	det	basic	1-12	
1-12	70-77	bīskapu	ncmsa1	bīskaps	_	_	_	_	nmod	basic	1-9	
1-13	77-78	.	zs	.	_	_	_	_	punct	basic	1-5	

#Text=Albertam draudēja katastrofa.
2-1	80-88	Albertam	npmsd1	Albertam	person	*	_	_	iobj	basic	2-2	
2-2	89-97	draudēja	vmnisi330an	draudēt	_	_	_	_	root	basic	2-2	
2-3	98-108	katastrofa	ncfsn4	katastrofa	_	_	_	_	nsubj	basic	2-2	
2-4	108-109	.	zs	.	_	_	_	_	punct	basic	2-2	

#Text=Bet 1223.g. Dānijas vara Igaunijā sabruka, un zuda arī ordeņa cerības sadarbībai pret Albertu.
3-1	111-114	Bet	cc	bet	_	_	_	_	cc	basic	3-7	
3-2	115-120	1223.	xo	1223.	time[2]	*[2]	_	_	amod	basic	3-3	
3-3	120-122	g.	yn	g.	time[2]	*[2]	_	_	obl	basic	3-7	
3-4	123-130	Dānijas	npfsg4	Dānija	GPE	https://en.wikipedia.org/wiki/Denmark	_	_	nmod	basic	3-5	
3-5	131-135	vara	ncfsn4	vara	_	_	_	_	nsubj	basic	3-7	
3-6	136-144	Igaunijā	npfsl4	Igaunija	GPE	https://en.wikipedia.org/wiki/Estonia	_	_	obl	basic	3-7	
3-7	145-152	sabruka	vmnisi130an	sabrukt	_	_	_	_	root	basic	3-7	
3-8	152-153	,	zc	,	_	_	_	_	punct	basic	3-10	
3-9	154-156	un	cc	un	_	_	_	_	cc	basic	3-10	
3-10	157-161	zuda	vmnisi130an	zust	_	_	_	_	conj	basic	3-7	
3-11	162-165	arī	q	arī	_	_	_	_	discourse	basic	3-13	
3-12	166-172	ordeņa	ncmsg2	ordenis	_	_	_	_	nmod	basic	3-13	
3-13	173-180	cerības	ncfpn4	cerība	_	_	_	_	nsubj	basic	3-10	
3-14	181-191	sadarbībai	ncfsd4	sadarbība	_	_	_	_	nmod	basic	3-13	
3-15	192-196	pret	spsa	pret	_	_	_	_	case	basic	3-16	
3-16	197-204	Albertu	npmsa1	Albertu	person	*	_	_	nmod	basic	3-14	
3-17	204-205	.	zs	.	_	_	_	_	punct	basic	3-7	
